COUNTYFIPS,COUNTY,STATE,community_type,pct_bachelors_degree,pct_graduate_degree,pct_hs_graduate,pct_less_than_hs,pct_associate_degree,pct_any_posths_education
23479,County_23479,Minnesota,Urban,15.62,7.34,81.45,18.55,9.06,33.01
49315,County_49315,Wisconsin,Urban,11.43,3.22,75.33,24.67,6.58,23.63
41105,County_41105,South Dakota,Urban,4.74,5.68,69.79,30.21,2.6,14.33
46793,County_46793,Virginia,Rural,13.99,,74.21,25.79,6.99,25.27
44109,County_44109,Utah,Urban,19.67,6.72,72.67,27.33,4.33,32.81
2933,County_2933,Alaska,Rural,18.22,,59.99,40.01,6.01,30.28
9957,County_9957,Florida,Urban,19.6,7.46,78.44,21.56,7.35,35.03
2787,County_2787,Alaska,Rural,8.62,3.76,71.31,28.69,,18.78
34335,County_34335,North Dakota,Urban,3.09,6.03,77.36,22.64,5.37,18.78
54463,County_54463,Other,Rural,11.79,4.96,83.88,16.12,0.0,19.12
46583,County_46583,Virginia,Urban,13.9,6.54,80.82,19.18,3.37,28.02
1573,County_1573,Alabama,Urban,6.46,6.61,80.2,19.8,3.07,18.54
13057,County_13057,Illinois,Rural,14.13,3.41,78.87,21.13,4.9,21.77
54617,County_54617,Other,Rural,18.88,10.13,76.59,23.41,5.36,33.4
8265,County_8265,Delaware,Rural,11.28,5.08,74.84,25.16,5.01,26.2
51595,County_51595,Other,Rural,18.05,2.49,80.85,19.15,8.01,
12079,County_12079,Idaho,Rural,13.69,2.49,73.66,26.34,8.44,
51677,County_51677,Other,Rural,,4.38,71.21,28.79,6.88,13.3
28493,County_28493,Nevada,Rural,10.41,3.15,76.15,23.85,7.56,24.02
14961,County_14961,Indiana,Suburban/Small City,11.28,12.02,83.61,16.39,8.88,33.12
3159,County_3159,Arizona,Urban,19.55,8.74,87.01,12.99,5.29,37.22
55607,County_55607,Other,Rural,17.97,7.88,85.66,14.34,4.15,30.9
24679,County_24679,Mississippi,Urban,17.74,4.12,69.33,,4.89,30.61
21725,County_21725,Massachusetts,Urban,13.5,8.61,91.68,8.32,8.72,35.38
42897,County_42897,Tennessee,Rural,9.22,1.94,60.6,39.4,4.26,20.58
41827,County_41827,South Dakota,Suburban/Small City,,6.2,78.63,21.37,,25.19
30667,County_30667,New Jersey,Urban,10.8,7.49,83.55,16.45,5.63,28.8
53823,County_53823,Other,Suburban/Small City,22.0,7.82,79.43,20.57,7.19,35.78
23893,County_23893,Minnesota,Suburban/Small City,10.02,2.34,61.41,,,19.03
24639,County_24639,Mississippi,Urban,6.72,1.27,71.32,28.68,9.43,16.76
4315,County_4315,Arkansas,Rural,7.82,0.25,60.66,39.34,1.24,8.32
4071,County_4071,Arkansas,Urban,15.18,8.33,83.05,16.95,3.44,30.0
43065,County_43065,Texas,Urban,7.33,2.36,67.46,32.54,5.48,16.7
12669,County_12669,Idaho,Suburban/Small City,15.8,5.64,69.31,30.69,5.73,26.66
48991,County_48991,West Virginia,Rural,15.32,1.84,76.01,23.99,6.73,26.01
21949,County_21949,Massachusetts,Suburban/Small City,22.32,8.11,81.17,18.83,6.54,37.1
27501,County_27501,Nebraska,Rural,14.47,12.98,,24.3,10.43,38.55
6159,County_6159,Colorado,Rural,15.66,8.93,75.32,24.68,3.26,29.43
49449,County_49449,Wisconsin,Rural,31.37,10.13,76.46,23.54,1.98,45.0
39353,County_39353,Rhode Island,Rural,6.5,2.94,70.62,29.38,5.45,21.38
52567,County_52567,Other,Rural,6.45,2.67,68.03,31.97,7.75,19.33
2535,County_2535,Alaska,Urban,24.15,4.7,78.49,21.51,7.39,41.66
48527,County_48527,West Virginia,Urban,9.79,5.63,73.39,26.61,8.72,24.21
26307,County_26307,Montana,Suburban/Small City,7.47,4.08,70.1,29.9,5.27,20.93
33007,County_33007,North Carolina,Rural,16.28,6.57,85.71,14.29,6.88,33.1
55595,County_55595,Other,Urban,15.84,3.51,63.21,36.79,4.44,24.0
20833,County_20833,Maryland,Suburban/Small City,12.64,6.48,81.51,18.49,6.93,29.99
52685,County_52685,Other,Urban,16.25,4.81,67.27,32.73,4.66,30.78
10445,County_10445,Georgia,Urban,12.09,11.74,75.81,24.19,5.61,33.13
53153,County_53153,Other,Urban,15.33,2.09,79.77,20.23,6.4,25.19
29449,County_29449,New Hampshire,Suburban/Small City,18.9,7.78,80.9,19.1,10.39,40.44
43179,County_43179,Texas,Rural,16.18,7.22,84.1,15.9,3.94,27.28
39339,County_39339,Rhode Island,Rural,20.06,9.41,75.85,24.15,7.11,39.28
43705,County_43705,Texas,Urban,23.32,8.35,77.35,22.65,3.15,38.6
33745,County_33745,North Carolina,Rural,21.47,,69.83,30.17,6.26,36.84
12335,County_12335,Idaho,Urban,18.37,6.85,77.4,22.6,9.16,35.37
23573,County_23573,Minnesota,Urban,13.96,6.51,72.29,27.71,7.15,32.87
46635,County_46635,Virginia,Rural,10.5,6.53,74.61,25.39,4.37,21.89
7151,County_7151,Connecticut,Suburban/Small City,10.1,2.89,70.3,29.7,4.6,18.52
8681,County_8681,Delaware,Suburban/Small City,14.87,9.19,74.89,25.11,8.75,30.57
29903,County_29903,New Hampshire,Urban,18.9,8.98,65.81,34.19,2.14,29.98
32979,County_32979,New York,Suburban/Small City,,3.97,,28.86,3.48,17.4
48115,County_48115,West Virginia,Urban,12.66,7.89,69.02,30.98,4.75,26.76
13469,County_13469,Illinois,Rural,,6.98,73.96,26.04,2.59,30.18
14375,County_14375,Indiana,Rural,15.67,7.03,74.19,25.81,5.6,32.02
17185,County_17185,Kentucky,Urban,14.87,10.1,68.95,31.05,6.26,31.12
25895,County_25895,Missouri,Urban,20.3,,73.01,26.99,6.67,33.66
11583,County_11583,Hawaii,Rural,8.43,0.0,67.81,32.19,4.77,16.95
24151,County_24151,Mississippi,Rural,14.71,6.54,81.17,18.83,2.72,23.97
24391,County_24391,Mississippi,Suburban/Small City,13.41,3.7,71.63,28.37,4.71,26.59
11237,County_11237,Hawaii,Rural,25.48,9.53,92.44,7.56,,46.17
12221,County_12221,Idaho,Rural,15.87,4.23,75.67,24.33,7.24,29.45
20417,County_20417,Maryland,Rural,7.74,3.98,62.69,37.31,6.38,23.05
19595,County_19595,Maine,Rural,12.19,6.3,91.58,8.42,9.72,31.85
30269,County_30269,New Jersey,Rural,19.21,6.93,75.49,24.51,8.29,35.96
32165,County_32165,New York,Suburban/Small City,10.9,3.12,74.5,25.5,3.65,21.37
1353,County_1353,Alabama,Urban,16.13,8.58,78.15,21.85,7.06,34.1
33153,County_33153,North Carolina,Suburban/Small City,3.41,4.48,66.78,33.22,6.15,17.66
52779,County_52779,Other,Urban,7.75,7.77,69.08,30.92,9.3,22.51
38755,County_38755,Pennsylvania,Urban,19.89,6.35,81.78,18.22,10.04,40.5
36617,County_36617,Oklahoma,Rural,20.25,9.41,76.76,23.24,5.01,34.68
53817,County_53817,Other,Rural,14.52,8.94,78.39,21.61,6.25,31.04
48115,County_48115,West Virginia,Urban,13.1,2.18,62.96,37.04,8.4,28.15
21251,County_21251,Massachusetts,Rural,17.74,4.73,,8.2,7.41,29.07
15251,County_15251,Iowa,Rural,13.33,10.08,80.35,19.65,6.39,28.84
6907,County_6907,Colorado,Rural,,2.7,72.61,27.39,7.32,
53943,County_53943,Other,Suburban/Small City,13.59,0.88,63.55,36.45,2.93,20.72
5307,County_5307,California,Rural,18.28,5.63,77.03,22.97,8.81,34.56
43061,County_43061,Texas,Rural,24.04,6.37,83.73,16.27,7.7,40.93
52065,County_52065,Other,Rural,17.21,6.35,72.25,27.75,7.36,27.58
8375,County_8375,Delaware,Urban,12.68,3.81,78.51,21.49,4.37,21.56
55531,County_55531,Other,Rural,17.16,9.46,84.33,15.67,7.15,33.18
5365,County_5365,California,Urban,17.38,5.8,74.0,26.0,3.7,32.93
26115,County_26115,Montana,Urban,13.55,5.13,74.08,25.92,6.84,23.19
24727,County_24727,Mississippi,Rural,12.7,6.66,68.02,31.98,7.18,29.14
26491,County_26491,Montana,Rural,14.65,6.96,71.15,28.85,6.63,33.86
19915,County_19915,Maine,Urban,10.86,4.58,67.39,32.61,3.81,23.14
29697,County_29697,New Hampshire,Urban,27.43,9.05,84.09,15.91,6.53,47.75
55325,County_55325,Other,Urban,20.17,,73.55,26.45,8.41,37.69
7127,County_7127,Connecticut,Urban,3.66,7.92,62.62,37.38,5.22,16.99
24341,County_24341,Mississippi,Rural,6.75,2.15,60.04,39.96,6.9,18.31
18005,County_18005,Louisiana,Urban,13.25,4.09,71.49,28.51,4.62,27.65
14049,County_14049,Indiana,Rural,13.24,7.16,72.67,27.33,7.26,31.72
53751,County_53751,Other,Urban,12.87,5.71,67.74,32.26,5.46,26.36
28643,County_28643,Nevada,Rural,28.38,12.58,85.14,14.86,11.3,56.21
6209,County_6209,Colorado,Rural,12.72,7.58,75.46,24.54,7.71,31.81
25399,County_25399,Missouri,Urban,16.73,8.99,78.35,21.65,5.05,32.42
33039,County_33039,North Carolina,Urban,9.33,2.35,63.4,36.6,8.21,23.57
27849,County_27849,Nebraska,Urban,16.48,4.46,80.2,19.8,9.47,30.77
14337,County_14337,Indiana,Suburban/Small City,9.57,3.41,69.63,30.37,2.0,19.53
19525,County_19525,Maine,Urban,24.41,8.9,74.42,25.58,9.59,47.24
8951,County_8951,Delaware,Rural,7.95,6.13,68.45,31.55,4.32,21.98
28703,County_28703,Nevada,Urban,,0.57,66.0,34.0,1.09,12.92
51357,County_51357,Other,Urban,0.65,4.73,70.54,29.46,7.84,17.19
35709,County_35709,Ohio,Suburban/Small City,5.39,3.3,67.96,32.04,6.05,17.17
24493,County_24493,Mississippi,Rural,14.77,5.5,,28.76,3.33,22.43
33987,County_33987,North Carolina,Rural,18.54,5.04,70.87,,6.07,32.09
41199,County_41199,South Dakota,Urban,18.24,6.43,82.69,17.31,8.84,34.4
30835,County_30835,New Jersey,Urban,8.54,1.77,77.39,22.61,7.28,18.23
25167,County_25167,Missouri,Rural,,6.04,68.94,31.06,5.85,25.11
11275,County_11275,Hawaii,Rural,20.01,4.63,80.28,19.72,5.99,32.15
3323,County_3323,Arizona,Urban,9.0,9.73,81.83,18.17,6.73,29.05
50229,County_50229,Wyoming,Urban,9.76,8.25,82.75,17.25,5.1,23.84
9817,County_9817,Florida,Urban,0.0,4.11,71.6,28.4,5.64,9.73
26671,County_26671,Montana,Urban,19.48,11.19,82.47,17.53,6.15,37.18
20607,County_20607,Maryland,Suburban/Small City,20.87,4.47,86.47,13.53,5.25,33.05
31589,County_31589,New Mexico,Rural,10.78,2.44,62.37,37.63,5.7,20.85
35953,County_35953,Ohio,Urban,18.29,6.45,74.39,25.61,5.8,32.7
55987,County_55987,Other,Rural,29.76,7.76,89.95,10.05,10.82,49.85
50577,County_50577,Wyoming,Urban,,0.73,56.53,43.47,3.8,8.22
1753,County_1753,Alabama,Rural,10.93,8.8,63.58,36.42,3.4,25.25
28261,County_28261,Nevada,Rural,13.73,8.87,78.28,21.72,5.16,28.76
4503,County_4503,Arkansas,Urban,19.82,11.06,87.11,12.89,7.44,41.54
33907,County_33907,North Carolina,Urban,13.86,5.56,71.03,28.97,5.26,28.35
26753,County_26753,Montana,Urban,8.41,8.49,75.45,24.55,5.34,24.56
16723,County_16723,Kansas,Rural,18.29,8.69,73.75,26.25,5.01,37.01
20193,County_20193,Maryland,Rural,,3.2,71.48,28.52,5.55,18.21
11037,County_11037,Hawaii,Rural,,4.3,72.26,27.74,7.3,29.38
40635,County_40635,South Carolina,Urban,20.02,8.89,70.84,29.16,4.68,34.4
56937,County_56937,Other,Rural,24.81,9.59,86.04,13.96,7.39,43.56
44259,County_44259,Utah,Rural,5.75,5.28,73.82,26.18,7.42,23.48
42033,County_42033,Tennessee,Urban,19.55,5.23,76.73,23.27,8.04,35.84
38923,County_38923,Pennsylvania,Suburban/Small City,10.13,7.35,72.66,27.34,4.28,22.97
53381,County_53381,Other,Rural,17.86,6.08,76.26,23.74,10.73,37.78
20163,County_20163,Maryland,Urban,16.74,9.07,77.62,22.38,9.24,34.44
39633,County_39633,Rhode Island,Rural,16.87,8.43,71.02,28.98,6.69,31.34
34199,County_34199,North Dakota,Rural,17.41,7.25,72.14,27.86,4.59,32.69
9779,County_9779,Florida,Rural,16.75,4.73,82.55,17.45,6.24,32.2
32717,County_32717,New York,Suburban/Small City,15.06,4.0,75.8,24.2,7.86,29.82
26177,County_26177,Montana,Urban,22.34,8.32,77.69,22.31,7.16,39.31
8439,County_8439,Delaware,Rural,3.88,4.72,71.27,28.73,5.96,15.08
16225,County_16225,Kansas,Rural,17.8,6.02,79.79,20.21,4.26,27.62
42089,County_42089,Tennessee,Urban,17.94,5.87,78.3,21.7,5.19,31.55
38241,County_38241,Pennsylvania,Rural,12.08,5.88,71.11,28.89,5.56,25.45
45443,County_45443,Vermont,Urban,2.12,0.01,69.76,30.24,6.93,12.88
21521,County_21521,Massachusetts,Urban,19.2,5.87,76.0,24.0,7.16,38.29
8477,County_8477,Delaware,Suburban/Small City,6.38,4.07,70.77,29.23,5.6,20.89
26983,County_26983,Montana,Suburban/Small City,14.66,7.37,80.08,19.92,4.41,26.01
24629,County_24629,Mississippi,Rural,22.51,6.2,85.71,14.29,7.86,33.46
27743,County_27743,Nebraska,Rural,10.19,8.36,66.21,33.79,4.63,24.92
3123,County_3123,Arizona,Suburban/Small City,17.03,0.23,67.28,32.72,5.37,24.36
19091,County_19091,Maine,Rural,12.62,6.75,77.73,22.27,9.03,29.83
23951,County_23951,Minnesota,Rural,5.86,3.92,76.79,23.21,6.49,17.62
49109,County_49109,Wisconsin,Suburban/Small City,26.94,8.8,77.98,22.02,5.64,41.47
50695,County_50695,Wyoming,Rural,15.35,4.56,76.64,23.36,6.08,30.4
13401,County_13401,Illinois,Rural,14.1,5.58,71.36,28.64,6.14,28.16
45595,County_45595,Vermont,Urban,4.2,5.76,68.99,31.01,5.42,16.07
30955,County_30955,New Jersey,Rural,14.37,3.31,67.58,32.42,7.17,23.82
48429,County_48429,West Virginia,Urban,16.28,7.51,76.59,23.41,3.37,29.39
20207,County_20207,Maryland,Urban,10.91,7.42,75.12,24.88,5.32,22.43
56785,County_56785,Other,Urban,22.33,4.2,80.01,19.99,8.45,
39239,County_39239,Rhode Island,Rural,16.26,0.0,63.98,36.02,5.41,23.2
15915,County_15915,Iowa,Urban,10.62,6.98,71.28,28.72,9.03,31.2
4913,County_4913,Arkansas,Rural,,5.01,65.71,34.29,3.53,9.96
24409,County_24409,Mississippi,Rural,9.61,4.39,70.41,29.59,2.81,18.82
34181,County_34181,North Dakota,Rural,11.89,7.11,77.55,22.45,6.6,26.79
49791,County_49791,Wisconsin,Rural,12.24,1.01,72.93,27.07,3.63,18.29
14837,County_14837,Indiana,Rural,9.84,7.64,68.9,31.1,7.41,27.53
25271,County_25271,Missouri,Urban,17.14,7.96,78.77,21.23,,36.45
38503,County_38503,Pennsylvania,Rural,17.83,10.0,75.5,24.5,2.97,29.46
53553,County_53553,Other,Suburban/Small City,,3.7,71.25,28.75,2.58,16.13
24483,County_24483,Mississippi,Rural,10.32,5.07,79.71,20.29,7.18,20.52
4953,County_4953,Arkansas,Urban,12.42,4.92,77.13,22.87,6.92,28.03
42177,County_42177,Tennessee,Rural,,11.48,75.61,24.39,8.7,42.35
21779,County_21779,Massachusetts,Rural,18.91,7.91,75.06,24.94,4.06,31.5
51985,County_51985,Other,Rural,18.62,7.81,70.43,29.57,6.96,35.77
40433,County_40433,South Carolina,Urban,14.81,10.87,67.99,32.01,4.94,32.0
48283,County_48283,West Virginia,Urban,10.23,10.01,65.37,34.63,7.48,26.72
22547,County_22547,Michigan,Urban,14.68,0.9,74.69,25.31,7.31,25.02
13699,County_13699,Illinois,Urban,4.25,3.53,64.28,35.72,7.06,17.72
20887,County_20887,Maryland,Urban,7.47,6.35,69.94,30.06,8.09,25.83
2661,County_2661,Alaska,Suburban/Small City,,6.09,69.55,30.45,5.64,19.32
26439,County_26439,Montana,Urban,21.08,5.11,77.32,22.68,5.0,32.05
37169,County_37169,Oregon,Rural,8.91,5.57,73.18,26.82,5.57,20.0
20729,County_20729,Maryland,Urban,22.93,9.72,82.77,17.23,8.64,41.66
8675,County_8675,Delaware,Rural,13.46,5.56,75.51,24.49,6.73,26.09
19995,County_19995,Maine,Suburban/Small City,15.01,3.6,75.19,24.81,7.04,27.51
17163,County_17163,Kentucky,Rural,31.78,10.89,80.7,19.3,7.72,52.78
14673,County_14673,Indiana,Urban,2.96,6.98,77.4,22.6,10.65,24.56
27507,County_27507,Nebraska,Rural,20.47,4.8,79.82,20.18,7.46,35.44
35353,County_35353,Ohio,Rural,15.25,4.14,,36.13,3.57,26.05
23199,County_23199,Minnesota,Urban,12.87,0.0,70.81,29.19,,21.64
6777,County_6777,Colorado,Rural,12.59,4.49,,25.69,11.62,30.47
22207,County_22207,Michigan,Rural,12.66,6.84,,24.03,7.37,26.95
19631,County_19631,Maine,Suburban/Small City,10.48,5.74,72.54,27.46,4.56,25.23
51037,County_51037,Other,Urban,,2.12,83.37,16.63,7.5,32.55
10237,County_10237,Georgia,Rural,12.6,2.03,66.11,33.89,4.28,20.25
6883,County_6883,Colorado,Urban,8.94,6.53,71.77,28.23,6.31,18.49
10297,County_10297,Georgia,Rural,23.75,4.97,79.64,20.36,6.54,31.71
43169,County_43169,Texas,Rural,4.27,1.96,64.45,35.55,5.81,16.65
12317,County_12317,Idaho,Rural,23.99,12.19,79.0,21.0,4.1,43.26
49107,County_49107,Wisconsin,Urban,17.6,10.41,81.35,18.65,5.83,32.23
30077,County_30077,New Jersey,Rural,15.48,5.59,81.75,18.25,6.9,29.39
21009,County_21009,Massachusetts,Urban,15.69,7.93,72.53,27.47,5.58,30.45
39777,County_39777,Rhode Island,Urban,19.56,10.52,70.93,29.07,9.45,40.62
49677,County_49677,Wisconsin,Rural,10.76,7.2,72.22,27.78,8.49,25.58
26687,County_26687,Montana,Urban,16.55,7.52,71.14,28.86,6.43,32.3
20455,County_20455,Maryland,Urban,20.71,4.18,76.64,23.36,7.09,32.93
36631,County_36631,Oklahoma,Urban,16.22,1.6,68.2,31.8,,26.75
19923,County_19923,Maine,Suburban/Small City,15.18,6.72,74.22,25.78,5.88,29.66
56401,County_56401,Other,Urban,10.03,4.96,55.14,44.86,4.51,18.22
8289,County_8289,Delaware,Rural,10.52,4.11,68.68,31.32,3.55,17.4
9661,County_9661,Florida,Suburban/Small City,15.77,5.32,66.41,33.59,6.41,29.93
38257,County_38257,Pennsylvania,Urban,15.89,7.05,79.59,,4.83,29.91
18633,County_18633,Louisiana,Rural,12.96,4.57,64.97,35.03,4.87,
33343,County_33343,North Carolina,Rural,18.17,1.09,75.22,24.78,9.11,31.91
42303,County_42303,Tennessee,Rural,17.63,6.91,83.21,16.79,5.52,31.21
54305,County_54305,Other,Suburban/Small City,11.6,3.53,77.79,22.21,7.85,25.49
20161,County_20161,Maryland,Urban,16.87,8.64,82.84,17.16,8.99,38.51
21675,County_21675,Massachusetts,Suburban/Small City,,8.69,84.19,15.81,8.37,42.88
46697,County_46697,Virginia,Rural,29.9,8.27,75.25,24.75,6.89,46.21
11979,County_11979,Hawaii,Urban,12.41,2.23,74.31,25.69,7.69,23.57
54005,County_54005,Other,Rural,12.04,4.86,72.28,27.72,5.17,20.67
15169,County_15169,Iowa,Rural,11.63,2.84,67.01,32.99,6.26,22.17
39507,County_39507,Rhode Island,Rural,,7.28,69.92,30.08,3.83,27.62
28721,County_28721,Nevada,Urban,14.69,4.36,75.82,24.18,4.05,29.15
33077,County_33077,North Carolina,Urban,27.63,7.42,78.59,21.41,9.43,45.9
53843,County_53843,Other,Urban,14.04,7.42,76.77,23.23,9.91,32.72
54743,County_54743,Other,Urban,20.31,8.06,84.7,15.3,5.24,34.34
42463,County_42463,Tennessee,Rural,20.75,7.55,78.19,21.81,7.16,37.5
50921,County_50921,Wyoming,Urban,19.48,8.92,74.68,25.32,6.77,35.11
44779,County_44779,Utah,Urban,15.62,2.12,73.43,26.57,2.63,20.73
30805,County_30805,New Jersey,Rural,27.15,6.38,87.42,12.58,,44.65
55679,County_55679,Other,Rural,5.95,4.05,72.98,27.02,4.02,15.8
16113,County_16113,Kansas,Suburban/Small City,14.03,8.86,78.15,21.85,7.63,33.04
43217,County_43217,Texas,Urban,16.53,7.79,84.59,15.41,12.22,38.87
32849,County_32849,New York,Urban,15.37,6.53,78.26,21.74,7.29,28.95
45827,County_45827,Vermont,Urban,13.29,7.59,76.05,23.95,6.92,27.23
37909,County_37909,Oregon,Rural,11.79,8.8,70.2,29.8,3.86,27.51
17399,County_17399,Kentucky,Urban,8.43,5.3,61.43,,0.84,15.84
38595,County_38595,Pennsylvania,Rural,9.78,5.67,65.13,34.87,6.16,21.4
18085,County_18085,Louisiana,Rural,15.94,4.58,68.84,31.16,4.68,24.56
23215,County_23215,Minnesota,Urban,,9.11,90.21,9.79,5.31,34.93
44921,County_44921,Utah,Rural,22.7,9.21,88.73,11.27,3.77,40.24
42815,County_42815,Tennessee,Suburban/Small City,19.55,10.71,81.45,18.55,8.4,40.64
8035,County_8035,Delaware,Urban,23.02,7.82,97.15,2.85,7.82,35.67
13951,County_13951,Illinois,Rural,26.87,3.79,83.5,16.5,6.9,43.86
44193,County_44193,Utah,Rural,14.13,7.07,73.45,26.55,7.29,29.41
13213,County_13213,Illinois,Urban,15.05,3.54,74.08,25.92,5.57,26.77
26079,County_26079,Montana,Urban,13.52,4.97,85.58,14.42,5.89,22.06
40851,County_40851,South Carolina,Rural,13.13,5.91,79.36,20.64,9.29,30.76
