COUNTYFIPS,COUNTY,STATE,community_type,median_household_income,acs_median_hh_income,per_capita_income,gini_index
28643,County_28643,Nevada,Rural,82067.0,81944.0,34962.0,0.452
6209,County_6209,Colorado,Rural,51756.0,51962.0,20875.0,0.483
25399,County_25399,Missouri,Urban,72547.0,72954.0,31161.0,0.415
33039,County_33039,North Carolina,Urban,24732.0,24399.0,13201.0,0.507
27849,County_27849,Nebraska,Urban,52147.0,53191.0,25269.0,0.474
14337,County_14337,Indiana,Suburban/Small City,38353.0,38595.0,14019.0,0.485
19525,County_19525,Maine,Urban,75714.0,75748.0,25104.0,0.414
8951,County_8951,Delaware,Rural,,41197.0,17153.0,0.514
28703,County_28703,Nevada,Urban,26274.0,27437.0,8299.0,0.487
51357,County_51357,Other,Urban,33599.0,34137.0,10281.0,0.5
35709,County_35709,Ohio,Suburban/Small City,24903.0,24319.0,13755.0,0.478
24493,County_24493,Mississippi,Rural,54766.0,55959.0,21776.0,0.416
33987,County_33987,North Carolina,Rural,42874.0,44380.0,17079.0,0.493
41199,County_41199,South Dakota,Urban,53560.0,53533.0,21902.0,0.449
30835,County_30835,New Jersey,Urban,52178.0,51219.0,15282.0,0.494
25167,County_25167,Missouri,Rural,49712.0,48338.0,22315.0,0.453
11275,County_11275,Hawaii,Rural,41162.0,42279.0,27800.0,0.476
3323,County_3323,Arizona,Urban,,52110.0,26049.0,0.442
50229,County_50229,Wyoming,Urban,55260.0,52946.0,17418.0,0.436
9817,County_9817,Florida,Urban,38465.0,37906.0,8107.0,0.464
26671,County_26671,Montana,Urban,66523.0,67177.0,26756.0,0.422
20607,County_20607,Maryland,Suburban/Small City,76318.0,76899.0,26084.0,0.451
31589,County_31589,New Mexico,Rural,42940.0,43544.0,15653.0,0.48
35953,County_35953,Ohio,Urban,66983.0,66607.0,21526.0,0.405
55987,County_55987,Other,Rural,73545.0,71477.0,29192.0,0.446
50577,County_50577,Wyoming,Urban,27293.0,25217.0,7982.0,0.486
1753,County_1753,Alabama,Rural,52473.0,51241.0,24708.0,0.484
28261,County_28261,Nevada,Rural,45551.0,43986.0,23621.0,0.45
4503,County_4503,Arkansas,Urban,64327.0,64586.0,29410.0,0.459
33907,County_33907,North Carolina,Urban,49508.0,49965.0,20181.0,
26753,County_26753,Montana,Urban,55181.0,54303.0,24749.0,0.473
16723,County_16723,Kansas,Rural,65395.0,64180.0,,0.452
20193,County_20193,Maryland,Rural,26109.0,25767.0,11619.0,0.505
11037,County_11037,Hawaii,Rural,44193.0,44239.0,21033.0,0.49
40635,County_40635,South Carolina,Urban,78907.0,81477.0,30835.0,0.418
56937,County_56937,Other,Rural,62606.0,60768.0,36296.0,0.432
44259,County_44259,Utah,Rural,39858.0,41668.0,22119.0,0.493
42033,County_42033,Tennessee,Urban,45759.0,46310.0,22946.0,0.482
38923,County_38923,Pennsylvania,Suburban/Small City,55375.0,56840.0,20290.0,0.467
53381,County_53381,Other,Rural,54148.0,52982.0,27277.0,0.449
20163,County_20163,Maryland,Urban,48355.0,48592.0,23814.0,0.45
39633,County_39633,Rhode Island,Rural,49822.0,47981.0,14232.0,0.459
34199,County_34199,North Dakota,Rural,58537.0,60340.0,24189.0,0.459
9779,County_9779,Florida,Rural,54655.0,53335.0,19854.0,0.443
32717,County_32717,New York,Suburban/Small City,61771.0,61106.0,25106.0,0.461
26177,County_26177,Montana,Urban,64896.0,63995.0,28317.0,0.439
8439,County_8439,Delaware,Rural,48216.0,48368.0,22945.0,0.515
16225,County_16225,Kansas,Rural,45147.0,43065.0,13679.0,0.474
42089,County_42089,Tennessee,Urban,51382.0,54299.0,23527.0,0.462
38241,County_38241,Pennsylvania,Rural,31218.0,31016.0,9866.0,0.507
45443,County_45443,Vermont,Urban,32123.0,,17242.0,0.477
21521,County_21521,Massachusetts,Urban,57442.0,57564.0,19258.0,0.46
8477,County_8477,Delaware,Suburban/Small City,33517.0,33026.0,15352.0,0.457
26983,County_26983,Montana,Suburban/Small City,60580.0,61554.0,27600.0,0.46
24629,County_24629,Mississippi,Rural,72868.0,74708.0,27644.0,0.437
27743,County_27743,Nebraska,Rural,32613.0,31364.0,19558.0,0.501
3123,County_3123,Arizona,Suburban/Small City,48349.0,49682.0,20495.0,0.487
19091,County_19091,Maine,Rural,53646.0,55513.0,30473.0,0.413
23951,County_23951,Minnesota,Rural,29141.0,29957.0,18914.0,0.446
49109,County_49109,Wisconsin,Suburban/Small City,72449.0,71011.0,30810.0,0.442
50695,County_50695,Wyoming,Rural,60038.0,60922.0,31998.0,0.472
13401,County_13401,Illinois,Rural,52470.0,54603.0,25055.0,0.467
45595,County_45595,Vermont,Urban,38272.0,35209.0,17672.0,0.485
30955,County_30955,New Jersey,Rural,37848.0,,14153.0,0.483
48429,County_48429,West Virginia,Urban,54493.0,53911.0,26409.0,0.479
20207,County_20207,Maryland,Urban,54965.0,54245.0,22715.0,0.45
56785,County_56785,Other,Urban,56793.0,55780.0,23455.0,0.44
39239,County_39239,Rhode Island,Rural,24732.0,22689.0,12076.0,0.501
15915,County_15915,Iowa,Urban,48270.0,45765.0,21868.0,0.43
4913,County_4913,Arkansas,Rural,39525.0,40406.0,14441.0,0.477
24409,County_24409,Mississippi,Rural,40341.0,36380.0,19837.0,0.448
34181,County_34181,North Dakota,Rural,64803.0,64230.0,31404.0,0.402
49791,County_49791,Wisconsin,Rural,36488.0,34543.0,16374.0,0.485
14837,County_14837,Indiana,Rural,33750.0,31057.0,21775.0,0.469
25271,County_25271,Missouri,Urban,57999.0,58850.0,23302.0,0.433
38503,County_38503,Pennsylvania,Rural,55719.0,,32052.0,0.429
53553,County_53553,Other,Suburban/Small City,49047.0,48297.0,16150.0,0.461
24483,County_24483,Mississippi,Rural,56881.0,56894.0,25457.0,0.479
4953,County_4953,Arkansas,Urban,50083.0,49252.0,25802.0,0.503
42177,County_42177,Tennessee,Rural,64363.0,65002.0,26373.0,0.406
21779,County_21779,Massachusetts,Rural,78560.0,76977.0,37295.0,0.408
51985,County_51985,Other,Rural,43165.0,43101.0,21868.0,0.481
40433,County_40433,South Carolina,Urban,54459.0,56169.0,31574.0,0.438
48283,County_48283,West Virginia,Urban,49901.0,48887.0,23210.0,0.488
22547,County_22547,Michigan,Urban,37454.0,35965.0,23152.0,0.444
13699,County_13699,Illinois,Urban,53396.0,53193.0,19025.0,0.468
20887,County_20887,Maryland,Urban,43792.0,43272.0,16654.0,0.436
2661,County_2661,Alaska,Suburban/Small City,34587.0,35454.0,11856.0,0.448
26439,County_26439,Montana,Urban,73800.0,74790.0,36296.0,0.438
37169,County_37169,Oregon,Rural,43277.0,43162.0,,0.462
20729,County_20729,Maryland,Urban,57222.0,57837.0,25047.0,0.422
8675,County_8675,Delaware,Rural,51095.0,51563.0,21840.0,0.491
19995,County_19995,Maine,Suburban/Small City,42927.0,42979.0,19655.0,0.47
17163,County_17163,Kentucky,Rural,,70661.0,,0.395
14673,County_14673,Indiana,Urban,46675.0,46872.0,19045.0,0.494
27507,County_27507,Nebraska,Rural,61680.0,61208.0,21782.0,0.463
35353,County_35353,Ohio,Rural,41267.0,39267.0,18923.0,0.435
23199,County_23199,Minnesota,Urban,51321.0,53006.0,21744.0,0.451
6777,County_6777,Colorado,Rural,48268.0,46164.0,21045.0,0.495
22207,County_22207,Michigan,Rural,47960.0,46602.0,22867.0,0.432
19631,County_19631,Maine,Suburban/Small City,,48675.0,16281.0,0.496
51037,County_51037,Other,Urban,54082.0,53706.0,28240.0,0.481
10237,County_10237,Georgia,Rural,24732.0,23597.0,13211.0,0.512
6883,County_6883,Colorado,Urban,54320.0,54611.0,27433.0,0.442
10297,County_10297,Georgia,Rural,58826.0,58578.0,25813.0,0.452
43169,County_43169,Texas,Rural,34576.0,34495.0,20026.0,0.531
12317,County_12317,Idaho,Rural,63674.0,61029.0,27073.0,0.453
49107,County_49107,Wisconsin,Urban,67279.0,68423.0,31109.0,0.459
30077,County_30077,New Jersey,Rural,48172.0,48384.0,19213.0,0.472
21009,County_21009,Massachusetts,Urban,51476.0,52980.0,25161.0,0.414
39777,County_39777,Rhode Island,Urban,66870.0,66230.0,25285.0,0.461
49677,County_49677,Wisconsin,Rural,43716.0,42195.0,13091.0,0.473
26687,County_26687,Montana,Urban,58859.0,59610.0,28618.0,0.426
20455,County_20455,Maryland,Urban,62454.0,63867.0,28261.0,0.42
36631,County_36631,Oklahoma,Urban,53902.0,51900.0,20607.0,0.49
19923,County_19923,Maine,Suburban/Small City,45150.0,45306.0,20133.0,0.422
56401,County_56401,Other,Urban,32900.0,33582.0,14887.0,0.465
8289,County_8289,Delaware,Rural,35865.0,36151.0,13391.0,0.506
9661,County_9661,Florida,Suburban/Small City,28331.0,26591.0,17184.0,0.483
38257,County_38257,Pennsylvania,Urban,56949.0,57993.0,28185.0,0.459
18633,County_18633,Louisiana,Rural,47659.0,47092.0,16032.0,0.468
33343,County_33343,North Carolina,Rural,49258.0,48449.0,15803.0,0.5
42303,County_42303,Tennessee,Rural,57668.0,,24062.0,0.457
54305,County_54305,Other,Suburban/Small City,47118.0,,,0.477
20161,County_20161,Maryland,Urban,69640.0,68584.0,31038.0,
21675,County_21675,Massachusetts,Suburban/Small City,68720.0,,34439.0,0.45
46697,County_46697,Virginia,Rural,75806.0,73366.0,30258.0,0.438
11979,County_11979,Hawaii,Urban,43830.0,43473.0,14810.0,0.452
54005,County_54005,Other,Rural,49085.0,51761.0,22271.0,0.474
15169,County_15169,Iowa,Rural,44273.0,42150.0,22090.0,0.456
39507,County_39507,Rhode Island,Rural,53334.0,51975.0,18334.0,0.482
28721,County_28721,Nevada,Urban,39300.0,39091.0,20930.0,0.45
33077,County_33077,North Carolina,Urban,79874.0,78642.0,31699.0,0.419
53843,County_53843,Other,Urban,59797.0,58763.0,27054.0,0.444
54743,County_54743,Other,Urban,43658.0,,23738.0,0.44
42463,County_42463,Tennessee,Rural,63264.0,,21512.0,0.438
50921,County_50921,Wyoming,Urban,70525.0,70910.0,31227.0,0.438
44779,County_44779,Utah,Urban,43525.0,42858.0,17021.0,0.482
30805,County_30805,New Jersey,Rural,76161.0,74377.0,37148.0,0.416
55679,County_55679,Other,Rural,35556.0,32832.0,11548.0,0.501
16113,County_16113,Kansas,Suburban/Small City,53933.0,53010.0,27668.0,
43217,County_43217,Texas,Urban,57549.0,57319.0,,0.415
32849,County_32849,New York,Urban,65640.0,64466.0,24983.0,0.438
45827,County_45827,Vermont,Urban,51943.0,50792.0,24358.0,0.454
37909,County_37909,Oregon,Rural,39629.0,41432.0,16812.0,0.498
17399,County_17399,Kentucky,Urban,44416.0,42233.0,11133.0,0.464
38595,County_38595,Pennsylvania,Rural,44739.0,44182.0,22731.0,0.5
18085,County_18085,Louisiana,Rural,27949.0,29381.0,18744.0,0.486
23215,County_23215,Minnesota,Urban,70163.0,69731.0,27527.0,0.423
44921,County_44921,Utah,Rural,63723.0,64716.0,,0.446
42815,County_42815,Tennessee,Suburban/Small City,62514.0,61788.0,25604.0,0.479
8035,County_8035,Delaware,Urban,70378.0,69644.0,40605.0,0.399
13951,County_13951,Illinois,Rural,67661.0,65428.0,27623.0,0.453
44193,County_44193,Utah,Rural,52470.0,52471.0,20224.0,0.469
13213,County_13213,Illinois,Urban,46119.0,46041.0,15392.0,0.474
26079,County_26079,Montana,Urban,63788.0,60289.0,24637.0,0.488
40851,County_40851,South Carolina,Rural,50390.0,49581.0,22528.0,0.453
38077,County_38077,Pennsylvania,Rural,49919.0,48138.0,17600.0,0.47
31161,County_31161,New Mexico,Suburban/Small City,72555.0,71758.0,23750.0,0.416
8135,County_8135,Delaware,Rural,45798.0,43849.0,22431.0,0.472
29047,County_29047,New Hampshire,Suburban/Small City,52136.0,55613.0,28341.0,0.445
15909,County_15909,Iowa,Rural,47458.0,48174.0,24545.0,0.495
2319,County_2319,Alaska,Urban,55863.0,57451.0,26369.0,0.449
46267,County_46267,Virginia,Urban,51250.0,52027.0,21237.0,0.462
55631,County_55631,Other,Urban,38064.0,37404.0,20805.0,0.472
28553,County_28553,Nevada,Suburban/Small City,69517.0,67095.0,33123.0,0.453
12941,County_12941,Idaho,Rural,,52840.0,21259.0,0.48
11591,County_11591,Hawaii,Urban,71657.0,72523.0,31922.0,0.432
52257,County_52257,Other,Urban,49823.0,47881.0,23271.0,
33251,County_33251,North Carolina,Rural,63245.0,64130.0,28885.0,0.388
3725,County_3725,Arizona,Urban,48728.0,46143.0,24605.0,0.473
31417,County_31417,New Mexico,Rural,39907.0,40115.0,20975.0,0.452
13149,County_13149,Illinois,Rural,42169.0,41783.0,17559.0,0.485
40725,County_40725,South Carolina,Rural,55300.0,53833.0,24040.0,0.485
56063,County_56063,Other,Urban,72966.0,75000.0,31011.0,0.428
24317,County_24317,Mississippi,Urban,66187.0,65304.0,24729.0,0.43
18341,County_18341,Louisiana,Urban,28172.0,29913.0,17012.0,0.494
15601,County_15601,Iowa,Rural,53148.0,53957.0,21141.0,0.438
2943,County_2943,Alaska,Urban,77099.0,,36323.0,0.436
10949,County_10949,Georgia,Rural,66637.0,67906.0,24084.0,0.445
1041,County_1041,Alabama,Rural,35304.0,34067.0,20410.0,0.466
9777,County_9777,Florida,Rural,38342.0,35313.0,16081.0,0.46
27263,County_27263,Nebraska,Rural,62722.0,60530.0,22457.0,0.453
1701,County_1701,Alabama,Urban,70458.0,69978.0,32016.0,0.442
41389,County_41389,South Dakota,Rural,43988.0,,21199.0,0.45
18099,County_18099,Louisiana,Urban,58977.0,58281.0,26602.0,0.461
33977,County_33977,North Carolina,Suburban/Small City,61330.0,59360.0,28383.0,0.415
32383,County_32383,New York,Rural,37528.0,39817.0,12567.0,0.501
48105,County_48105,West Virginia,Suburban/Small City,45768.0,45936.0,17400.0,0.5
5719,County_5719,California,Rural,72590.0,72447.0,34487.0,0.408
21621,County_21621,Massachusetts,Rural,45992.0,46081.0,25283.0,0.459
21237,County_21237,Massachusetts,Rural,42237.0,42688.0,21530.0,0.435
51665,County_51665,Other,Urban,51909.0,51892.0,20164.0,0.411
26887,County_26887,Montana,Rural,72259.0,72047.0,33071.0,0.413
7849,County_7849,Connecticut,Rural,69874.0,69985.0,27930.0,0.42
46889,County_46889,Virginia,Urban,63650.0,64290.0,30857.0,0.422
16355,County_16355,Kansas,Urban,62833.0,62760.0,22701.0,0.446
17175,County_17175,Kentucky,Rural,58039.0,60561.0,25439.0,0.438
56707,County_56707,Other,Rural,36264.0,35031.0,19304.0,0.495
21071,County_21071,Massachusetts,Rural,65989.0,65531.0,28375.0,0.454
34825,County_34825,North Dakota,Rural,42651.0,41412.0,20440.0,0.48
38521,County_38521,Pennsylvania,Urban,51850.0,51642.0,27819.0,0.432
55273,County_55273,Other,Rural,31210.0,30459.0,18266.0,0.487
25471,County_25471,Missouri,Suburban/Small City,69353.0,69692.0,37976.0,0.475
23357,County_23357,Minnesota,Urban,40871.0,44543.0,15794.0,0.477
