COUNTYFIPS,COUNTY,STATE,community_type,insurance_coverage_pct,uninsured_pct,uninsured_below64_pct,sahie_uninsured_pct,pct_private_insurance,pct_medicaid,pct_medicare_only
28877,County_28877,Nevada,Rural,70.93,29.07,34.24,29.58,35.97,41.23,4.97
40139,County_40139,South Carolina,Rural,84.19,15.81,18.71,14.65,36.52,29.11,5.29
55031,County_55031,Other,Rural,78.7,21.3,25.66,22.21,41.86,27.69,6.17
51729,County_51729,Other,Rural,86.19,13.81,16.78,14.43,45.95,23.81,6.59
56219,County_56219,Other,Urban,80.19,19.81,24.03,19.4,37.22,36.14,7.59
10217,County_10217,Georgia,Urban,90.38,9.62,11.74,9.23,56.85,22.87,3.64
39397,County_39397,Rhode Island,Rural,73.4,26.6,32.54,26.23,37.26,40.78,7.88
27187,County_27187,Nebraska,Rural,73.42,26.58,32.58,26.83,43.46,37.32,6.23
53441,County_53441,Other,Rural,86.45,13.55,16.46,13.85,34.64,30.87,7.53
43713,County_43713,Texas,Urban,75.18,24.82,30.1,25.18,35.3,40.37,9.68
32867,County_32867,New York,Rural,91.55,8.45,10.01,9.21,51.09,18.75,7.43
34531,County_34531,North Dakota,Rural,88.26,11.74,14.76,12.73,44.33,17.21,8.76
23543,County_23543,Minnesota,Suburban/Small City,,25.41,29.81,24.92,38.73,38.96,6.79
28911,County_28911,Nevada,Urban,70.43,29.57,35.14,29.55,35.76,50.69,8.8
23923,County_23923,Minnesota,Rural,84.78,15.22,18.47,15.54,38.74,28.95,
56329,County_56329,Other,Urban,82.58,17.42,,17.76,57.76,28.36,5.87
6253,County_6253,Colorado,Urban,,17.1,19.76,17.49,48.54,30.85,3.18
30691,County_30691,New Jersey,Urban,81.8,18.2,21.84,17.89,50.86,32.17,5.4
52325,County_52325,Other,Rural,90.25,9.75,12.42,11.1,48.38,13.95,9.08
55517,County_55517,Other,Rural,73.32,26.68,33.07,26.69,39.75,39.33,4.74
5805,County_5805,California,Urban,78.15,21.85,26.17,21.35,37.64,33.12,6.64
23243,County_23243,Minnesota,Rural,,17.38,20.58,18.28,45.96,27.08,5.66
55125,County_55125,Other,Rural,95.5,4.5,5.87,5.1,47.07,24.69,7.11
21441,County_21441,Massachusetts,Urban,89.78,10.22,12.59,9.68,44.27,17.25,7.27
9001,County_9001,Florida,Rural,75.31,24.69,29.99,25.23,37.55,37.28,8.59
19807,County_19807,Maine,Rural,87.1,12.9,15.81,13.22,51.15,12.2,5.81
34247,County_34247,North Dakota,Urban,75.12,24.88,29.73,25.05,32.66,33.61,6.67
27585,County_27585,Nebraska,Urban,,22.88,25.97,23.49,36.55,43.66,7.89
11447,County_11447,Hawaii,Urban,71.93,28.07,33.26,28.44,37.94,36.32,7.49
8341,County_8341,Delaware,Rural,85.08,14.92,17.87,15.36,38.85,21.9,7.18
49733,County_49733,Wisconsin,Urban,63.7,36.3,43.36,37.18,33.04,49.01,
41359,County_41359,South Dakota,Urban,86.11,13.89,17.25,14.66,43.97,26.64,6.97
54961,County_54961,Other,Urban,76.46,23.54,28.62,23.1,29.83,,7.79
31503,County_31503,New Mexico,Rural,,34.57,41.59,34.28,23.35,54.31,1.68
14791,County_14791,Indiana,Rural,63.08,36.92,44.92,37.05,25.69,53.83,3.38
33477,County_33477,North Carolina,Rural,75.22,24.78,29.67,24.92,35.09,37.33,5.97
56141,County_56141,Other,Urban,77.18,22.82,27.02,22.93,37.45,37.34,6.91
1363,County_1363,Alabama,Rural,64.97,35.03,42.98,35.59,34.23,49.6,5.66
44571,County_44571,Utah,Urban,93.38,6.62,8.2,6.81,59.66,15.9,8.11
14255,County_14255,Indiana,Rural,71.68,28.32,33.62,28.39,30.99,35.52,3.6
56709,County_56709,Other,Rural,83.31,16.69,19.97,17.73,53.34,24.4,8.61
23171,County_23171,Minnesota,Suburban/Small City,74.06,25.94,30.74,26.48,,39.11,8.31
39457,County_39457,Rhode Island,Rural,75.54,24.46,29.85,23.97,42.03,36.52,6.04
12197,County_12197,Idaho,Rural,78.56,21.44,26.08,22.17,37.96,46.99,5.5
49845,County_49845,Wisconsin,Rural,86.14,13.86,17.22,14.48,48.77,17.28,9.71
48381,County_48381,West Virginia,Rural,81.94,18.06,21.44,17.93,41.53,30.3,4.96
39709,County_39709,Rhode Island,Suburban/Small City,75.96,24.04,28.25,23.7,36.55,27.5,6.85
40223,County_40223,South Carolina,Rural,89.16,10.84,13.46,10.84,47.44,25.91,7.4
9441,County_9441,Florida,Urban,89.3,10.7,12.07,11.39,42.19,18.62,4.9
14423,County_14423,Indiana,Rural,91.36,8.64,10.91,,43.55,16.85,3.79
30565,County_30565,New Jersey,Urban,93.75,6.25,6.32,6.61,49.91,18.68,8.21
23479,County_23479,Minnesota,Urban,88.91,,14.21,10.67,45.09,24.39,5.92
49315,County_49315,Wisconsin,Urban,72.62,27.38,31.98,28.21,30.12,34.39,7.49
41105,County_41105,South Dakota,Urban,80.91,19.09,24.0,19.74,37.19,31.23,7.47
46793,County_46793,Virginia,Rural,74.13,25.87,31.09,,36.57,42.13,5.16
44109,County_44109,Utah,Urban,72.21,27.79,33.12,27.4,32.07,33.68,6.83
2933,County_2933,Alaska,Rural,71.76,28.24,33.83,29.39,34.73,40.27,4.72
9957,County_9957,Florida,Urban,79.84,20.16,24.71,20.3,43.45,29.11,7.35
2787,County_2787,Alaska,Rural,65.65,34.35,41.57,33.96,26.72,45.11,8.53
34335,County_34335,North Dakota,Urban,81.45,18.55,22.39,17.9,46.85,22.02,5.92
54463,County_54463,Other,Rural,76.53,23.47,27.95,23.57,41.92,31.77,5.61
46583,County_46583,Virginia,Urban,83.14,16.86,20.3,16.71,52.06,29.31,6.93
1573,County_1573,Alabama,Urban,63.99,36.01,43.75,36.27,29.33,41.03,7.38
13057,County_13057,Illinois,Rural,81.61,18.39,22.01,18.89,40.07,36.02,
54617,County_54617,Other,Rural,89.5,10.5,13.28,10.73,51.87,25.94,6.87
8265,County_8265,Delaware,Rural,75.72,24.28,28.23,24.59,39.14,,5.79
51595,County_51595,Other,Rural,75.06,24.94,30.03,24.6,37.3,38.99,8.14
12079,County_12079,Idaho,Rural,72.9,27.1,32.85,26.65,41.38,41.11,3.84
51677,County_51677,Other,Rural,63.77,36.23,44.12,35.42,26.56,48.07,5.48
28493,County_28493,Nevada,Rural,70.39,29.61,35.03,29.88,43.88,33.31,5.48
14961,County_14961,Indiana,Suburban/Small City,94.14,5.86,6.8,6.62,54.02,17.9,5.92
3159,County_3159,Arizona,Urban,87.86,12.14,15.71,12.06,55.1,17.34,6.21
55607,County_55607,Other,Rural,87.47,12.53,14.37,12.19,52.49,22.64,3.04
24679,County_24679,Mississippi,Urban,65.62,34.38,,34.86,20.96,43.95,4.16
21725,County_21725,Massachusetts,Urban,90.99,,11.47,9.4,47.58,23.57,5.75
42897,County_42897,Tennessee,Rural,67.45,32.55,38.69,33.66,43.06,46.31,
41827,County_41827,South Dakota,Suburban/Small City,77.42,,27.66,22.03,44.4,31.39,5.74
30667,County_30667,New Jersey,Urban,72.27,27.73,32.94,28.22,31.04,43.63,7.08
53823,County_53823,Other,Suburban/Small City,81.52,18.48,22.37,18.83,43.15,28.81,3.05
23893,County_23893,Minnesota,Suburban/Small City,70.29,29.71,35.03,28.8,28.4,47.25,6.53
24639,County_24639,Mississippi,Urban,67.72,32.28,38.61,31.73,38.17,41.58,4.67
4315,County_4315,Arkansas,Rural,62.11,37.89,45.06,38.17,27.56,44.63,6.16
4071,County_4071,Arkansas,Urban,90.1,9.9,11.84,10.11,57.93,19.04,4.26
43065,County_43065,Texas,Urban,74.97,25.03,30.78,25.03,35.67,36.32,7.88
12669,County_12669,Idaho,Suburban/Small City,75.62,,28.98,24.07,28.6,37.94,6.73
48991,County_48991,West Virginia,Rural,72.28,27.72,34.11,28.69,28.78,43.99,6.28
21949,County_21949,Massachusetts,Suburban/Small City,97.82,2.18,2.89,1.7,44.58,22.26,7.07
27501,County_27501,Nebraska,Rural,88.85,11.15,,11.39,42.91,23.56,3.65
6159,County_6159,Colorado,Rural,82.86,17.14,20.17,17.59,49.59,32.4,8.05
49449,County_49449,Wisconsin,Rural,86.95,13.05,15.59,13.59,48.74,32.91,5.65
39353,County_39353,Rhode Island,Rural,70.21,29.79,35.5,29.71,,48.37,4.19
52567,County_52567,Other,Rural,65.0,35.0,42.81,36.16,26.68,45.93,5.74
2535,County_2535,Alaska,Urban,83.83,16.17,18.19,16.74,47.48,28.41,2.8
48527,County_48527,West Virginia,Urban,88.34,11.66,13.31,12.43,45.28,27.65,6.62
26307,County_26307,Montana,Suburban/Small City,64.52,35.48,42.24,35.61,25.69,46.72,5.44
33007,County_33007,North Carolina,Rural,86.74,13.26,16.26,13.66,48.27,20.33,8.3
55595,County_55595,Other,Urban,78.23,21.77,26.16,21.11,19.52,32.97,6.12
20833,County_20833,Maryland,Suburban/Small City,80.58,19.42,22.59,19.94,,35.39,6.44
52685,County_52685,Other,Urban,74.74,25.26,30.73,25.92,32.19,36.72,3.96
10445,County_10445,Georgia,Urban,79.81,,24.55,20.1,41.94,35.78,6.31
53153,County_53153,Other,Urban,72.54,27.46,33.3,27.66,39.64,41.76,6.96
29449,County_29449,New Hampshire,Suburban/Small City,85.71,14.29,17.91,14.79,39.8,26.77,4.06
43179,County_43179,Texas,Rural,80.91,,22.98,19.94,40.47,35.81,5.48
39339,County_39339,Rhode Island,Rural,81.67,18.33,21.6,19.44,39.71,36.12,3.5
43705,County_43705,Texas,Urban,83.81,16.19,19.34,16.11,40.3,32.57,7.85
33745,County_33745,North Carolina,Rural,87.64,12.36,15.57,13.13,47.7,23.4,7.91
12335,County_12335,Idaho,Urban,90.73,9.27,10.75,10.28,42.73,22.67,4.26
23573,County_23573,Minnesota,Urban,74.6,25.4,30.12,25.69,35.63,34.68,5.27
46635,County_46635,Virginia,Rural,77.08,22.92,27.28,23.15,39.65,34.45,5.47
7151,County_7151,Connecticut,Suburban/Small City,70.95,29.05,34.92,29.34,32.2,40.45,6.22
8681,County_8681,Delaware,Suburban/Small City,84.94,15.06,18.76,15.4,60.59,29.0,4.77
29903,County_29903,New Hampshire,Urban,78.33,21.67,26.33,21.23,43.13,33.0,6.14
32979,County_32979,New York,Suburban/Small City,66.5,33.5,40.65,32.99,30.58,45.33,5.86
48115,County_48115,West Virginia,Urban,80.36,19.64,23.15,19.57,41.67,38.64,7.97
13469,County_13469,Illinois,Rural,83.85,16.15,18.94,16.32,39.58,29.34,6.55
14375,County_14375,Indiana,Rural,76.69,23.31,27.53,23.28,38.33,35.56,6.82
17185,County_17185,Kentucky,Urban,87.25,12.75,15.33,12.79,45.28,27.36,
25895,County_25895,Missouri,Urban,76.44,23.56,27.8,24.27,32.65,38.19,5.33
11583,County_11583,Hawaii,Rural,66.5,33.5,40.08,33.49,24.07,54.38,3.78
24151,County_24151,Mississippi,Rural,85.2,14.8,17.67,14.85,46.94,23.1,5.27
24391,County_24391,Mississippi,Suburban/Small City,75.47,24.53,28.89,24.49,36.21,33.34,7.02
11237,County_11237,Hawaii,Rural,,8.09,9.22,8.16,55.67,17.74,
12221,County_12221,Idaho,Rural,80.3,19.7,23.0,20.39,46.66,36.15,4.94
20417,County_20417,Maryland,Rural,68.57,31.43,37.05,31.63,27.03,49.58,6.67
19595,County_19595,Maine,Rural,90.19,9.81,12.46,9.39,50.43,22.48,7.03
30269,County_30269,New Jersey,Rural,82.81,17.19,21.13,,46.46,36.04,5.59
32165,County_32165,New York,Suburban/Small City,66.0,34.0,41.61,35.8,31.3,45.56,6.17
1353,County_1353,Alabama,Urban,82.65,17.35,20.56,17.72,42.03,30.08,6.27
33153,County_33153,North Carolina,Suburban/Small City,67.46,32.54,39.92,33.82,38.97,43.2,5.39
52779,County_52779,Other,Urban,76.56,23.44,28.06,24.3,32.57,35.52,4.77
38755,County_38755,Pennsylvania,Urban,93.73,6.27,7.83,5.92,50.89,19.99,7.41
36617,County_36617,Oklahoma,Rural,92.12,7.88,8.89,7.63,51.52,18.1,5.91
53817,County_53817,Other,Rural,84.1,15.9,19.05,15.37,35.77,20.05,5.84
48115,County_48115,West Virginia,Urban,67.47,32.53,39.98,31.93,32.14,49.19,5.13
21251,County_21251,Massachusetts,Rural,92.8,7.2,7.7,6.96,55.9,13.97,7.43
15251,County_15251,Iowa,Rural,82.43,17.57,20.76,17.67,41.06,24.58,8.96
6907,County_6907,Colorado,Rural,73.97,26.03,31.59,26.33,33.96,36.73,8.49
53943,County_53943,Other,Suburban/Small City,64.82,35.18,41.85,35.8,23.89,49.06,7.65
5307,County_5307,California,Rural,,17.19,,16.71,52.01,24.83,6.42
43061,County_43061,Texas,Rural,95.42,4.58,5.35,4.65,55.08,17.88,8.37
52065,County_52065,Other,Rural,77.71,22.29,26.87,22.91,36.45,39.7,7.41
8375,County_8375,Delaware,Urban,73.15,26.85,32.71,28.01,32.46,34.69,7.27
55531,County_55531,Other,Rural,86.31,13.69,16.53,14.18,46.96,26.8,7.75
5365,County_5365,California,Urban,76.57,23.43,28.26,23.46,35.68,30.12,6.9
26115,County_26115,Montana,Urban,70.12,29.88,,30.59,,36.72,5.51
24727,County_24727,Mississippi,Rural,74.49,25.51,29.74,25.74,,44.27,4.41
26491,County_26491,Montana,Rural,77.05,22.95,27.68,22.96,39.11,36.27,5.45
19915,County_19915,Maine,Urban,70.91,29.09,35.29,29.5,36.33,48.13,6.94
29697,County_29697,New Hampshire,Urban,89.07,10.93,13.31,10.86,44.02,26.67,6.97
55325,County_55325,Other,Urban,83.11,16.89,20.34,16.85,40.63,32.45,8.11
7127,County_7127,Connecticut,Urban,74.09,25.91,31.93,26.14,33.58,44.28,7.26
24341,County_24341,Mississippi,Rural,66.11,33.89,40.45,34.7,28.72,49.97,6.94
18005,County_18005,Louisiana,Urban,80.52,19.48,22.9,20.54,41.42,43.36,6.88
14049,County_14049,Indiana,Rural,80.94,19.06,23.57,19.17,44.6,33.3,7.76
53751,County_53751,Other,Urban,68.76,31.24,36.95,31.36,29.83,41.82,6.17
28643,County_28643,Nevada,Rural,94.15,5.85,6.62,5.65,48.46,16.31,9.02
6209,County_6209,Colorado,Rural,79.54,20.46,24.54,21.14,43.22,31.87,6.97
25399,County_25399,Missouri,Urban,85.85,14.15,17.01,14.19,45.37,23.6,6.09
33039,County_33039,North Carolina,Urban,63.7,36.3,43.03,36.18,20.25,52.12,3.54
27849,County_27849,Nebraska,Urban,81.67,18.33,22.45,17.8,40.66,25.28,7.63
14337,County_14337,Indiana,Suburban/Small City,73.44,26.56,31.14,27.16,32.47,,5.99
19525,County_19525,Maine,Urban,86.67,13.33,15.87,11.94,55.56,18.3,5.65
8951,County_8951,Delaware,Rural,67.56,32.44,39.07,32.03,36.25,51.68,6.92
28703,County_28703,Nevada,Urban,62.69,37.31,44.78,,24.58,53.25,4.64
51357,County_51357,Other,Urban,68.07,31.93,37.72,31.64,34.41,43.85,3.93
35709,County_35709,Ohio,Suburban/Small City,62.97,37.03,44.33,37.47,22.4,51.55,4.71
24493,County_24493,Mississippi,Rural,76.79,23.21,28.01,24.27,40.58,37.24,7.03
33987,County_33987,North Carolina,Rural,71.59,28.41,34.38,27.96,28.89,30.41,5.39
41199,County_41199,South Dakota,Urban,84.98,15.02,18.38,15.39,45.65,25.25,6.54
30835,County_30835,New Jersey,Urban,76.02,23.98,29.04,24.22,34.16,37.01,6.18
25167,County_25167,Missouri,Rural,73.19,26.81,31.4,26.72,40.71,34.85,5.31
11275,County_11275,Hawaii,Rural,78.48,21.52,25.24,,53.2,25.34,8.3
3323,County_3323,Arizona,Urban,80.64,19.36,22.83,19.87,42.12,27.18,8.29
50229,County_50229,Wyoming,Urban,77.26,22.74,26.94,22.72,36.0,34.83,4.29
9817,County_9817,Florida,Urban,66.89,33.11,39.45,33.76,33.88,44.09,6.96
26671,County_26671,Montana,Urban,93.44,6.56,7.77,,44.58,23.99,7.73
20607,County_20607,Maryland,Suburban/Small City,87.69,12.31,14.38,12.45,48.63,20.84,4.95
31589,County_31589,New Mexico,Rural,67.95,,39.06,32.5,19.54,45.51,7.33
35953,County_35953,Ohio,Urban,82.33,17.67,21.3,17.19,30.99,40.37,4.63
55987,County_55987,Other,Rural,91.36,8.64,10.85,9.96,57.89,11.89,4.43
50577,County_50577,Wyoming,Urban,62.32,37.68,45.28,37.93,33.41,47.23,6.66
1753,County_1753,Alabama,Rural,,20.51,24.61,20.59,38.9,35.02,6.61
28261,County_28261,Nevada,Rural,84.03,15.97,18.61,16.07,44.48,29.68,4.55
4503,County_4503,Arkansas,Urban,84.59,,18.24,15.48,48.22,27.44,8.21
33907,County_33907,North Carolina,Urban,74.1,25.9,30.96,26.28,41.5,31.29,5.64
26753,County_26753,Montana,Urban,84.96,15.04,18.07,14.46,36.78,27.97,4.02
16723,County_16723,Kansas,Rural,85.49,14.51,18.29,14.61,36.08,27.37,4.1
20193,County_20193,Maryland,Rural,63.54,36.46,44.63,36.64,28.0,52.47,6.18
11037,County_11037,Hawaii,Rural,78.96,21.04,24.35,,41.58,34.94,7.06
40635,County_40635,South Carolina,Urban,93.03,6.97,8.66,6.82,58.76,16.76,9.38
56937,County_56937,Other,Rural,,11.05,12.4,11.74,39.14,22.64,4.58
44259,County_44259,Utah,Rural,64.08,35.92,43.32,36.27,28.79,44.6,4.99
42033,County_42033,Tennessee,Urban,73.12,26.88,32.27,26.76,32.97,,6.39
38923,County_38923,Pennsylvania,Suburban/Small City,72.82,27.18,32.43,26.54,38.99,32.9,6.56
53381,County_53381,Other,Rural,85.68,14.32,17.5,15.07,44.04,35.34,6.34
20163,County_20163,Maryland,Urban,77.67,22.33,26.78,22.42,49.35,27.82,2.88
39633,County_39633,Rhode Island,Rural,72.78,27.22,32.6,27.46,43.75,43.76,3.53
34199,County_34199,North Dakota,Rural,79.18,20.82,24.87,20.89,40.75,32.26,8.41
9779,County_9779,Florida,Rural,80.96,19.04,22.85,19.77,41.58,35.81,8.17
32717,County_32717,New York,Suburban/Small City,85.46,14.54,17.31,14.88,50.34,35.14,
26177,County_26177,Montana,Urban,84.23,,19.76,15.83,39.64,29.85,4.82
8439,County_8439,Delaware,Rural,71.36,28.64,35.27,29.06,27.28,44.88,7.15
16225,County_16225,Kansas,Rural,66.02,33.98,41.33,33.49,36.84,43.86,4.47
42089,County_42089,Tennessee,Urban,79.65,20.35,25.01,19.88,32.11,33.15,5.6
38241,County_38241,Pennsylvania,Rural,66.16,33.84,39.55,34.71,37.2,56.08,5.5
45443,County_45443,Vermont,Urban,68.44,31.56,,31.74,29.17,48.85,5.31
21521,County_21521,Massachusetts,Urban,74.68,25.32,30.63,25.53,45.34,39.02,7.55
8477,County_8477,Delaware,Suburban/Small City,65.42,34.58,41.89,34.2,26.6,41.3,4.91
26983,County_26983,Montana,Suburban/Small City,81.69,18.31,22.53,19.22,45.54,33.6,2.89
24629,County_24629,Mississippi,Rural,80.79,19.21,22.32,19.8,47.46,30.19,7.43
27743,County_27743,Nebraska,Rural,64.73,35.27,42.02,35.48,33.17,50.41,6.24
3123,County_3123,Arizona,Suburban/Small City,,28.12,34.2,28.22,34.98,55.13,4.94
19091,County_19091,Maine,Rural,83.53,16.47,19.7,16.43,46.85,33.7,4.54
23951,County_23951,Minnesota,Rural,70.65,29.35,34.18,30.36,29.69,47.96,4.53
49109,County_49109,Wisconsin,Suburban/Small City,92.54,7.46,7.49,6.92,60.5,22.04,5.31
50695,County_50695,Wyoming,Rural,84.74,15.26,18.33,14.96,42.35,22.74,6.57
13401,County_13401,Illinois,Rural,81.9,,21.55,18.38,,30.73,10.52
45595,County_45595,Vermont,Urban,65.83,34.17,39.95,34.16,30.0,48.97,3.75
30955,County_30955,New Jersey,Rural,70.75,29.25,34.94,29.47,33.7,41.69,6.96
48429,County_48429,West Virginia,Urban,78.71,21.29,26.01,21.21,34.38,39.18,6.34
20207,County_20207,Maryland,Urban,79.8,20.2,24.0,21.05,33.55,31.61,5.7
56785,County_56785,Other,Urban,85.73,14.27,16.99,15.24,43.47,34.05,4.18
39239,County_39239,Rhode Island,Rural,57.73,42.27,50.0,41.31,,46.79,4.44
15915,County_15915,Iowa,Urban,80.18,19.82,24.3,19.68,27.83,26.27,5.09
4913,County_4913,Arkansas,Rural,67.79,32.21,39.08,32.69,27.61,45.0,5.2
24409,County_24409,Mississippi,Rural,70.04,29.96,36.26,30.15,29.42,43.95,7.47
34181,County_34181,North Dakota,Rural,89.74,10.26,11.79,10.73,46.1,17.39,6.23
49791,County_49791,Wisconsin,Rural,67.27,32.73,39.28,33.09,28.82,45.63,6.99
14837,County_14837,Indiana,Rural,72.23,27.77,33.83,29.04,29.48,48.67,3.99
25271,County_25271,Missouri,Urban,78.56,21.44,25.31,21.89,46.78,25.44,7.15
38503,County_38503,Pennsylvania,Rural,85.45,14.55,17.96,14.36,43.15,24.72,6.02
53553,County_53553,Other,Suburban/Small City,70.08,29.92,36.3,30.55,35.35,45.03,6.87
24483,County_24483,Mississippi,Rural,80.18,19.82,23.95,19.52,50.48,28.14,5.96
4953,County_4953,Arkansas,Urban,76.54,23.46,28.32,23.37,43.02,40.4,6.46
42177,County_42177,Tennessee,Rural,90.37,9.63,10.82,9.75,62.57,19.56,8.01
21779,County_21779,Massachusetts,Rural,88.69,,14.13,11.71,53.36,23.09,7.53
51985,County_51985,Other,Rural,74.31,25.69,30.61,25.86,33.27,29.85,6.43
40433,County_40433,South Carolina,Urban,85.54,14.46,16.79,15.42,43.37,21.16,6.9
48283,County_48283,West Virginia,Urban,76.24,23.76,29.05,23.91,36.19,29.47,6.95
22547,County_22547,Michigan,Urban,76.3,23.7,29.22,,37.33,37.88,2.91
13699,County_13699,Illinois,Urban,75.3,24.7,30.03,24.21,29.86,44.92,7.4
20887,County_20887,Maryland,Urban,75.45,24.55,29.85,24.84,34.83,33.07,3.91
2661,County_2661,Alaska,Suburban/Small City,63.7,36.3,42.81,35.04,23.51,54.87,6.65
26439,County_26439,Montana,Urban,85.64,14.36,17.56,14.86,55.79,15.3,8.91
37169,County_37169,Oregon,Rural,79.13,20.87,25.76,21.12,38.43,32.68,4.36
20729,County_20729,Maryland,Urban,85.73,14.27,17.35,14.02,43.24,33.13,7.7
8675,County_8675,Delaware,Rural,76.41,23.59,27.98,23.94,31.97,27.99,8.96
19995,County_19995,Maine,Suburban/Small City,76.07,23.93,29.06,24.18,31.86,34.29,7.77
17163,County_17163,Kentucky,Rural,92.85,7.15,8.67,7.12,52.68,10.84,7.46
14673,County_14673,Indiana,Urban,77.76,22.24,26.27,21.97,44.81,38.46,4.34
27507,County_27507,Nebraska,Rural,86.21,13.79,16.61,14.22,49.45,12.49,7.15
35353,County_35353,Ohio,Rural,71.42,28.58,34.2,29.23,25.92,39.24,5.48
23199,County_23199,Minnesota,Urban,74.45,25.55,30.46,26.09,35.05,45.95,7.05
6777,County_6777,Colorado,Rural,75.6,,28.64,24.73,49.62,35.79,
22207,County_22207,Michigan,Rural,78.73,21.27,26.12,22.08,37.67,36.95,
19631,County_19631,Maine,Suburban/Small City,65.59,34.41,41.62,34.66,26.48,45.94,7.09
51037,County_51037,Other,Urban,82.45,17.55,20.03,17.23,34.46,26.29,7.01
10237,County_10237,Georgia,Rural,66.55,33.45,40.29,33.69,34.38,49.95,7.29
6883,County_6883,Colorado,Urban,80.39,19.61,25.07,19.89,42.87,32.24,5.75
10297,County_10297,Georgia,Rural,83.48,16.52,19.84,17.58,37.39,29.28,5.6
43169,County_43169,Texas,Rural,63.1,36.9,43.58,36.5,39.3,,4.98
12317,County_12317,Idaho,Rural,91.16,8.84,11.0,9.04,47.4,19.25,3.71
49107,County_49107,Wisconsin,Urban,88.95,11.05,13.64,12.44,52.68,17.7,4.87
30077,County_30077,New Jersey,Rural,77.21,22.79,26.56,22.98,45.8,36.43,6.14
21009,County_21009,Massachusetts,Urban,83.01,16.99,20.48,16.76,38.61,34.01,7.07
39777,County_39777,Rhode Island,Urban,83.66,16.34,20.56,15.63,49.87,22.13,4.19
49677,County_49677,Wisconsin,Rural,72.33,27.67,32.4,27.65,31.61,39.99,4.62
26687,County_26687,Montana,Urban,81.93,18.07,21.71,,49.17,32.94,7.43
20455,County_20455,Maryland,Urban,88.2,11.8,14.12,12.44,43.1,31.02,7.94
36631,County_36631,Oklahoma,Urban,73.44,26.56,31.71,26.94,40.65,40.94,5.0
19923,County_19923,Maine,Suburban/Small City,75.72,24.28,29.11,24.6,37.32,37.34,6.01
56401,County_56401,Other,Urban,63.95,36.05,43.77,36.12,29.56,45.31,5.35
8289,County_8289,Delaware,Rural,70.52,29.48,,,23.61,47.12,4.69
9661,County_9661,Florida,Suburban/Small City,66.06,33.94,40.98,33.48,24.68,47.42,5.37
38257,County_38257,Pennsylvania,Urban,83.13,16.87,19.67,17.29,42.82,22.94,6.63
18633,County_18633,Louisiana,Rural,70.22,29.78,35.19,30.41,,43.63,5.67
33343,County_33343,North Carolina,Rural,,,30.01,24.04,31.17,33.86,5.43
42303,County_42303,Tennessee,Rural,81.88,18.12,21.8,18.8,35.77,35.71,6.32
54305,County_54305,Other,Suburban/Small City,74.88,,30.41,26.48,38.44,35.89,4.83
20161,County_20161,Maryland,Urban,89.28,10.72,13.65,11.52,58.82,23.18,7.59
21675,County_21675,Massachusetts,Suburban/Small City,88.61,11.39,13.2,11.4,50.04,17.67,6.55
46697,County_46697,Virginia,Rural,88.19,11.81,14.11,11.82,53.95,21.54,7.61
11979,County_11979,Hawaii,Urban,71.63,28.37,34.42,28.31,37.45,47.64,6.78
