COUNTYFIPS,COUNTY,STATE,community_type,disability_rate_pct,child_disability_rate_pct,nonvet_disability_18_64_pct,vet_disability_18_64_pct
13469,County_13469,Illinois,Rural,20.05,7.03,13.75,36.04
14375,County_14375,Indiana,Rural,20.44,10.1,17.63,
17185,County_17185,Kentucky,Urban,,8.31,15.59,29.62
25895,County_25895,Missouri,Urban,20.89,8.36,19.32,28.66
11583,County_11583,Hawaii,Rural,31.55,16.61,21.36,42.67
24151,County_24151,Mississippi,Rural,17.6,12.57,14.48,20.56
24391,County_24391,Mississippi,Suburban/Small City,25.28,10.91,15.99,36.63
11237,County_11237,Hawaii,Rural,10.41,4.71,8.04,20.22
12221,County_12221,Idaho,Rural,22.5,11.4,19.33,44.21
20417,County_20417,Maryland,Rural,29.26,11.84,22.69,32.19
19595,County_19595,Maine,Rural,13.94,7.79,13.96,24.42
30269,County_30269,New Jersey,Rural,21.16,8.69,16.07,26.82
32165,County_32165,New York,Suburban/Small City,30.67,16.52,24.67,37.96
1353,County_1353,Alabama,Urban,16.2,6.61,13.19,27.52
33153,County_33153,North Carolina,Suburban/Small City,29.53,12.84,24.13,43.05
52779,County_52779,Other,Urban,23.4,11.0,21.67,36.14
38755,County_38755,Pennsylvania,Urban,10.57,6.42,9.77,23.05
36617,County_36617,Oklahoma,Rural,14.88,8.69,10.31,30.76
53817,County_53817,Other,Rural,12.09,8.88,13.39,24.14
48115,County_48115,West Virginia,Urban,34.0,16.04,28.81,38.18
21251,County_21251,Massachusetts,Rural,12.31,6.6,10.49,20.71
15251,County_15251,Iowa,Rural,21.81,8.92,20.02,31.52
6907,County_6907,Colorado,Rural,29.68,16.48,24.93,42.26
53943,County_53943,Other,Suburban/Small City,30.78,16.42,24.84,38.38
5307,County_5307,California,Rural,17.0,7.82,11.15,24.33
43061,County_43061,Texas,Rural,10.5,5.5,9.69,28.03
52065,County_52065,Other,Rural,22.52,10.12,20.15,29.57
8375,County_8375,Delaware,Urban,26.59,13.84,22.63,30.03
55531,County_55531,Other,Rural,17.73,7.82,15.87,30.63
5365,County_5365,California,Urban,21.55,12.74,20.67,36.7
26115,County_26115,Montana,Urban,24.21,15.29,,37.92
24727,County_24727,Mississippi,Rural,26.11,12.27,22.86,32.15
26491,County_26491,Montana,Rural,23.41,12.43,20.64,21.19
19915,County_19915,Maine,Urban,28.15,14.63,21.23,37.03
29697,County_29697,New Hampshire,Urban,9.84,2.55,11.07,29.1
55325,County_55325,Other,Urban,21.36,11.73,18.84,28.86
7127,County_7127,Connecticut,Urban,26.1,13.73,22.05,37.78
24341,County_24341,Mississippi,Rural,32.89,17.43,27.48,41.37
18005,County_18005,Louisiana,Urban,25.45,10.66,26.02,41.72
14049,County_14049,Indiana,Rural,18.53,9.8,16.53,37.92
53751,County_53751,Other,Urban,25.64,11.15,21.7,25.59
28643,County_28643,Nevada,Rural,8.08,4.16,10.54,15.07
6209,County_6209,Colorado,Rural,23.0,8.13,17.53,37.76
25399,County_25399,Missouri,Urban,15.51,6.35,14.29,25.64
33039,County_33039,North Carolina,Urban,34.74,17.09,29.08,39.88
27849,County_27849,Nebraska,Urban,19.0,10.06,16.47,36.67
14337,County_14337,Indiana,Suburban/Small City,24.81,13.03,19.4,46.67
19525,County_19525,Maine,Urban,19.28,11.79,12.61,27.34
8951,County_8951,Delaware,Rural,28.91,13.32,25.0,39.05
28703,County_28703,Nevada,Urban,33.69,14.62,26.16,36.93
51357,County_51357,Other,Urban,29.58,15.61,26.0,35.05
35709,County_35709,Ohio,Suburban/Small City,34.95,16.13,29.08,47.31
24493,County_24493,Mississippi,Rural,,9.44,18.12,19.77
33987,County_33987,North Carolina,Rural,24.19,11.94,19.61,33.5
41199,County_41199,South Dakota,Urban,15.49,6.66,12.74,33.53
30835,County_30835,New Jersey,Urban,23.56,12.86,19.46,41.99
25167,County_25167,Missouri,Rural,22.08,12.08,19.62,29.63
11275,County_11275,Hawaii,Rural,18.25,,16.4,19.18
3323,County_3323,Arizona,Urban,20.93,8.77,19.45,38.8
50229,County_50229,Wyoming,Urban,20.7,8.17,15.37,24.13
9817,County_9817,Florida,Urban,29.07,11.95,25.48,27.92
26671,County_26671,Montana,Urban,13.36,7.27,13.27,16.87
20607,County_20607,Maryland,Suburban/Small City,14.65,8.57,14.08,26.9
31589,County_31589,New Mexico,Rural,27.98,12.91,25.11,37.83
35953,County_35953,Ohio,Urban,17.76,8.3,13.55,25.6
55987,County_55987,Other,Rural,13.01,8.55,,24.56
50577,County_50577,Wyoming,Urban,31.57,14.94,26.84,39.29
1753,County_1753,Alabama,Rural,21.08,11.98,16.95,31.62
28261,County_28261,Nevada,Rural,21.86,11.67,19.88,27.78
4503,County_4503,Arkansas,Urban,18.58,9.45,14.0,28.82
33907,County_33907,North Carolina,Urban,22.44,11.59,22.06,30.92
26753,County_26753,Montana,Urban,19.74,8.31,16.62,35.36
16723,County_16723,Kansas,Rural,15.37,7.9,10.6,25.7
20193,County_20193,Maryland,Rural,31.14,16.9,26.86,35.94
11037,County_11037,Hawaii,Rural,22.94,10.8,22.97,35.31
40635,County_40635,South Carolina,Urban,10.01,2.11,9.92,16.85
56937,County_56937,Other,Rural,22.02,10.19,17.52,25.11
44259,County_44259,Utah,Rural,33.95,20.0,29.84,28.33
42033,County_42033,Tennessee,Urban,24.63,14.69,21.23,36.56
38923,County_38923,Pennsylvania,Suburban/Small City,23.36,10.22,18.22,39.81
53381,County_53381,Other,Rural,21.55,9.03,17.71,38.28
20163,County_20163,Maryland,Urban,18.0,10.81,13.03,24.79
39633,County_39633,Rhode Island,Rural,24.37,11.36,25.33,33.13
34199,County_34199,North Dakota,Rural,22.3,12.63,17.52,28.72
9779,County_9779,Florida,Rural,21.73,10.82,14.1,22.36
32717,County_32717,New York,Suburban/Small City,18.37,8.12,16.89,37.57
26177,County_26177,Montana,Urban,22.42,10.39,18.68,16.49
8439,County_8439,Delaware,Rural,29.99,15.69,24.85,22.03
16225,County_16225,Kansas,Rural,28.91,14.71,26.77,27.67
42089,County_42089,Tennessee,Urban,18.34,9.26,16.33,24.47
38241,County_38241,Pennsylvania,Rural,,15.53,26.57,35.78
45443,County_45443,Vermont,Urban,32.42,16.7,24.04,33.51
21521,County_21521,Massachusetts,Urban,25.03,12.54,19.6,29.58
8477,County_8477,Delaware,Suburban/Small City,28.69,12.97,23.84,40.27
26983,County_26983,Montana,Suburban/Small City,18.53,9.86,19.58,28.17
24629,County_24629,Mississippi,Rural,,5.5,14.76,33.88
27743,County_27743,Nebraska,Rural,31.27,13.56,28.25,33.15
3123,County_3123,Arizona,Suburban/Small City,27.02,12.19,23.32,42.07
19091,County_19091,Maine,Rural,21.4,9.62,17.35,23.75
23951,County_23951,Minnesota,Rural,30.08,16.99,28.76,38.45
49109,County_49109,Wisconsin,Suburban/Small City,11.61,5.92,10.51,27.23
50695,County_50695,Wyoming,Rural,14.27,5.96,11.54,24.48
13401,County_13401,Illinois,Rural,20.4,9.11,19.21,27.95
45595,County_45595,Vermont,Urban,30.67,16.74,25.83,40.56
30955,County_30955,New Jersey,Rural,29.09,14.23,27.28,44.42
48429,County_48429,West Virginia,Urban,16.75,7.1,17.39,40.01
20207,County_20207,Maryland,Urban,17.66,9.83,12.72,43.59
56785,County_56785,Other,Urban,15.96,8.06,14.67,35.15
39239,County_39239,Rhode Island,Rural,35.94,16.35,30.4,43.63
15915,County_15915,Iowa,Urban,21.51,10.71,20.55,41.73
4913,County_4913,Arkansas,Rural,31.55,17.42,26.11,32.84
24409,County_24409,Mississippi,Rural,33.96,16.35,28.84,39.38
34181,County_34181,North Dakota,Rural,13.24,8.97,12.29,31.19
49791,County_49791,Wisconsin,Rural,30.7,14.49,25.64,40.82
14837,County_14837,Indiana,Rural,29.16,16.84,25.04,44.19
25271,County_25271,Missouri,Urban,14.75,7.01,11.3,29.06
38503,County_38503,Pennsylvania,Rural,17.31,7.81,12.85,30.36
53553,County_53553,Other,Suburban/Small City,29.23,15.98,22.8,32.47
24483,County_24483,Mississippi,Rural,20.32,11.37,18.55,33.22
4953,County_4953,Arkansas,Urban,25.37,13.53,21.8,34.1
42177,County_42177,Tennessee,Rural,14.46,8.18,12.79,26.73
21779,County_21779,Massachusetts,Rural,12.46,,,23.33
51985,County_51985,Other,Rural,24.81,12.47,20.94,33.39
40433,County_40433,South Carolina,Urban,18.65,10.65,16.15,27.89
48283,County_48283,West Virginia,Urban,24.77,14.4,19.75,42.86
22547,County_22547,Michigan,Urban,23.5,12.7,20.94,24.04
13699,County_13699,Illinois,Urban,29.04,15.84,26.51,40.22
20887,County_20887,Maryland,Urban,28.19,13.92,25.14,36.87
2661,County_2661,Alaska,Suburban/Small City,32.8,17.53,30.28,48.62
26439,County_26439,Montana,Urban,12.77,6.85,11.77,19.93
37169,County_37169,Oregon,Rural,20.35,10.26,16.27,37.91
20729,County_20729,Maryland,Urban,13.77,8.52,11.72,22.17
8675,County_8675,Delaware,Rural,25.84,9.46,21.11,26.09
19995,County_19995,Maine,Suburban/Small City,24.63,13.29,21.45,44.48
17163,County_17163,Kentucky,Rural,,4.43,7.36,19.93
14673,County_14673,Indiana,Urban,24.13,14.28,19.29,41.45
27507,County_27507,Nebraska,Rural,14.04,7.64,13.14,38.0
35353,County_35353,Ohio,Rural,28.69,15.98,23.39,32.42
23199,County_23199,Minnesota,Urban,21.97,12.17,21.99,28.69
6777,County_6777,Colorado,Rural,23.97,13.48,21.93,22.89
22207,County_22207,Michigan,Rural,22.23,12.28,20.86,34.03
19631,County_19631,Maine,Suburban/Small City,28.09,12.42,23.88,31.16
51037,County_51037,Other,Urban,16.71,,15.83,27.42
10237,County_10237,Georgia,Rural,,15.11,24.77,39.3
6883,County_6883,Colorado,Urban,19.17,9.35,14.35,31.07
10297,County_10297,Georgia,Rural,18.64,10.84,15.2,33.29
43169,County_43169,Texas,Rural,29.88,15.18,26.14,40.15
12317,County_12317,Idaho,Rural,14.03,8.25,11.09,25.67
49107,County_49107,Wisconsin,Urban,15.39,9.43,13.98,30.12
30077,County_30077,New Jersey,Rural,22.0,12.52,16.54,33.56
21009,County_21009,Massachusetts,Urban,19.89,8.91,16.12,26.37
39777,County_39777,Rhode Island,Urban,20.75,11.84,17.75,30.88
49677,County_49677,Wisconsin,Rural,25.25,13.38,18.6,30.33
26687,County_26687,Montana,Urban,17.36,8.4,14.87,33.14
20455,County_20455,Maryland,Urban,16.44,9.31,13.24,32.83
36631,County_36631,Oklahoma,Urban,23.57,11.48,19.65,33.58
19923,County_19923,Maine,Suburban/Small City,24.74,11.25,19.66,40.05
56401,County_56401,Other,Urban,34.98,20.0,32.38,38.72
8289,County_8289,Delaware,Rural,33.99,18.09,29.07,38.31
9661,County_9661,Florida,Suburban/Small City,31.3,13.82,25.96,41.46
38257,County_38257,Pennsylvania,Urban,16.93,10.58,17.28,31.23
18633,County_18633,Louisiana,Rural,29.48,15.55,22.88,38.67
33343,County_33343,North Carolina,Rural,22.38,12.72,21.56,33.12
42303,County_42303,Tennessee,Rural,20.69,9.83,19.16,31.6
54305,County_54305,Other,Suburban/Small City,23.46,13.59,20.55,32.24
20161,County_20161,Maryland,Urban,8.15,4.05,5.92,14.89
21675,County_21675,Massachusetts,Suburban/Small City,12.9,8.0,12.52,26.97
46697,County_46697,Virginia,Rural,11.93,5.91,10.66,20.53
11979,County_11979,Hawaii,Urban,25.81,11.16,21.1,44.81
54005,County_54005,Other,Rural,26.07,14.72,21.28,33.24
15169,County_15169,Iowa,Rural,24.0,9.68,18.65,32.0
39507,County_39507,Rhode Island,Rural,21.73,11.06,15.54,38.54
28721,County_28721,Nevada,Urban,27.22,14.2,21.33,48.37
33077,County_33077,North Carolina,Urban,14.19,5.5,12.56,21.5
53843,County_53843,Other,Urban,16.8,7.31,15.77,35.17
54743,County_54743,Other,Urban,19.92,11.45,19.43,26.86
42463,County_42463,Tennessee,Rural,19.87,10.22,19.69,18.83
50921,County_50921,Wyoming,Urban,10.62,5.2,6.9,18.8
44779,County_44779,Utah,Urban,29.03,15.07,30.29,42.58
30805,County_30805,New Jersey,Rural,11.6,7.88,7.84,14.42
55679,County_55679,Other,Rural,35.71,17.36,31.93,41.62
16113,County_16113,Kansas,Suburban/Small City,19.67,10.29,14.34,37.4
43217,County_43217,Texas,Urban,13.66,7.74,12.79,26.03
32849,County_32849,New York,Urban,16.81,9.43,14.9,34.78
45827,County_45827,Vermont,Urban,21.08,9.58,20.91,26.5
37909,County_37909,Oregon,Rural,27.19,13.37,19.8,43.45
17399,County_17399,Kentucky,Urban,29.92,13.75,24.25,42.74
38595,County_38595,Pennsylvania,Rural,30.95,14.56,28.14,
18085,County_18085,Louisiana,Rural,31.14,13.9,27.25,36.28
23215,County_23215,Minnesota,Urban,13.55,4.58,11.1,17.98
44921,County_44921,Utah,Rural,15.84,7.78,16.1,30.55
42815,County_42815,Tennessee,Suburban/Small City,19.46,8.94,17.32,28.58
8035,County_8035,Delaware,Urban,10.64,7.93,9.99,19.91
13951,County_13951,Illinois,Rural,16.56,8.64,13.18,30.68
44193,County_44193,Utah,Rural,21.86,9.25,20.22,34.37
13213,County_13213,Illinois,Urban,24.38,15.24,21.43,
26079,County_26079,Montana,Urban,18.09,10.74,16.82,30.66
40851,County_40851,South Carolina,Rural,22.8,10.81,16.51,33.78
38077,County_38077,Pennsylvania,Rural,26.09,10.64,20.99,24.31
31161,County_31161,New Mexico,Suburban/Small City,15.78,9.84,16.87,31.11
8135,County_8135,Delaware,Rural,21.38,10.77,20.84,33.6
29047,County_29047,New Hampshire,Suburban/Small City,19.25,9.36,16.8,15.32
15909,County_15909,Iowa,Rural,26.58,16.39,24.6,36.06
2319,County_2319,Alaska,Urban,,10.8,19.91,32.84
46267,County_46267,Virginia,Urban,26.32,,22.77,35.78
55631,County_55631,Other,Urban,25.53,12.73,20.82,32.74
28553,County_28553,Nevada,Suburban/Small City,14.59,7.86,14.24,29.28
12941,County_12941,Idaho,Rural,23.83,11.68,19.55,26.81
11591,County_11591,Hawaii,Urban,14.49,5.84,9.7,27.93
52257,County_52257,Other,Urban,25.01,9.43,19.61,23.01
33251,County_33251,North Carolina,Rural,15.72,8.53,13.84,24.85
3725,County_3725,Arizona,Urban,23.24,11.84,19.41,32.24
31417,County_31417,New Mexico,Rural,27.44,13.19,22.32,37.4
13149,County_13149,Illinois,Rural,22.38,11.59,19.87,34.87
40725,County_40725,South Carolina,Rural,23.42,10.33,,40.85
56063,County_56063,Other,Urban,14.75,6.73,,19.95
24317,County_24317,Mississippi,Urban,16.28,7.64,15.72,21.61
18341,County_18341,Louisiana,Urban,33.81,18.86,29.73,34.91
15601,County_15601,Iowa,Rural,21.86,12.12,20.53,38.49
2943,County_2943,Alaska,Urban,6.0,3.42,5.24,29.86
10949,County_10949,Georgia,Rural,20.77,9.73,16.19,
1041,County_1041,Alabama,Rural,31.69,18.35,28.76,36.93
9777,County_9777,Florida,Rural,24.5,11.7,21.65,33.82
27263,County_27263,Nebraska,Rural,18.9,10.58,17.55,33.67
1701,County_1701,Alabama,Urban,17.62,10.03,20.02,29.5
41389,County_41389,South Dakota,Rural,25.53,12.15,18.32,32.2
18099,County_18099,Louisiana,Urban,20.59,7.37,13.09,26.17
33977,County_33977,North Carolina,Suburban/Small City,15.55,8.69,13.46,36.5
32383,County_32383,New York,Rural,32.18,16.74,29.23,36.31
48105,County_48105,West Virginia,Suburban/Small City,24.25,12.33,20.54,28.34
5719,County_5719,California,Rural,9.63,2.3,10.76,16.41
21621,County_21621,Massachusetts,Rural,25.58,10.73,23.92,34.76
21237,County_21237,Massachusetts,Rural,25.03,17.11,24.04,43.56
51665,County_51665,Other,Urban,21.16,9.92,16.65,32.48
26887,County_26887,Montana,Rural,15.56,6.24,12.6,31.87
7849,County_7849,Connecticut,Rural,14.35,6.0,9.54,26.3
46889,County_46889,Virginia,Urban,12.83,5.63,11.14,
16355,County_16355,Kansas,Urban,18.94,7.27,18.48,30.03
17175,County_17175,Kentucky,Rural,14.43,8.58,16.16,20.15
56707,County_56707,Other,Rural,30.34,13.01,25.88,34.4
21071,County_21071,Massachusetts,Rural,16.46,6.3,13.36,27.08
34825,County_34825,North Dakota,Rural,21.0,9.95,17.66,36.33
38521,County_38521,Pennsylvania,Urban,23.82,13.57,24.01,26.42
55273,County_55273,Other,Rural,29.5,12.73,27.89,47.08
25471,County_25471,Missouri,Suburban/Small City,14.45,5.56,10.76,30.08
23357,County_23357,Minnesota,Urban,28.97,15.86,24.4,43.11
8215,County_8215,Delaware,Rural,31.19,,26.81,46.0
26945,County_26945,Montana,Rural,11.6,5.04,11.42,23.99
43269,County_43269,Texas,Rural,22.11,10.72,13.6,19.62
5749,County_5749,California,Rural,33.97,17.09,30.04,36.47
34923,County_34923,North Dakota,Urban,27.3,9.52,21.94,37.71
21557,County_21557,Massachusetts,Rural,20.02,10.84,14.46,32.82
52597,County_52597,Other,Rural,31.2,16.87,31.99,31.19
27993,County_27993,Nebraska,Urban,32.43,15.59,25.18,39.35
40159,County_40159,South Carolina,Rural,16.06,11.69,14.95,30.94
28781,County_28781,Nevada,Rural,29.68,14.18,22.54,36.03
45099,County_45099,Vermont,Rural,9.89,5.07,10.68,21.57
17679,County_17679,Kentucky,Suburban/Small City,19.77,10.53,,26.25
53289,County_53289,Other,Rural,21.8,8.93,19.64,29.52
44211,County_44211,Utah,Rural,15.71,6.4,14.86,33.34
30561,County_30561,New Jersey,Urban,21.66,10.06,19.43,38.0
20501,County_20501,Maryland,Rural,16.39,7.87,14.6,34.5
51407,County_51407,Other,Rural,12.81,4.41,9.87,26.88
27011,County_27011,Nebraska,Rural,26.56,13.25,19.77,31.86
38923,County_38923,Pennsylvania,Suburban/Small City,20.1,9.39,12.8,32.5
21681,County_21681,Massachusetts,Rural,26.58,12.76,24.42,26.81
8899,County_8899,Delaware,Suburban/Small City,25.94,11.28,23.35,30.88
14069,County_14069,Indiana,Urban,25.09,12.98,20.5,39.24
4615,County_4615,Arkansas,Urban,26.92,12.8,23.56,36.91
35427,County_35427,Ohio,Rural,27.61,15.19,,40.21
2549,County_2549,Alaska,Suburban/Small City,25.07,14.59,21.61,31.64
26209,County_26209,Montana,Rural,31.73,17.52,25.39,40.41
43117,County_43117,Texas,Rural,22.02,14.33,20.4,35.7
34889,County_34889,North Dakota,Rural,24.68,12.61,20.52,33.33
9819,County_9819,Florida,Rural,22.34,13.7,19.19,42.04
31887,County_31887,New Mexico,Rural,19.87,9.14,15.15,29.79
48807,County_48807,West Virginia,Rural,34.57,16.76,28.89,40.98
