COUNTYFIPS,COUNTY,STATE,community_type,renter_cost_burden_30pct,renter_cost_burden_50pct,owner_cost_burden_30pct,owner_cost_burden_50pct,median_rent,median_home_value,pct_vacant_housing,pct_owner_occupied,pct_mobile_homes
43713,County_43713,Texas,Urban,61.76,31.42,19.74,5.09,736.3,81901.0,18.87,46.99,22.84
32867,County_32867,New York,Rural,40.9,25.68,20.12,6.77,953.6,180476.0,15.52,70.01,9.3
34531,County_34531,North Dakota,Rural,48.45,17.79,18.39,7.82,1151.1,,13.14,62.16,8.9
23543,County_23543,Minnesota,Suburban/Small City,57.24,34.38,17.35,4.87,595.0,135722.0,18.15,57.03,13.13
28911,County_28911,Nevada,Urban,53.15,28.18,14.44,9.89,718.4,,26.74,64.9,26.38
23923,County_23923,Minnesota,Rural,45.63,26.21,21.47,7.06,726.2,124545.0,22.3,57.83,20.26
56329,County_56329,Other,Urban,46.08,29.7,19.45,7.27,880.0,174758.0,15.56,64.83,16.31
6253,County_6253,Colorado,Urban,52.42,29.84,19.08,2.04,718.3,143571.0,26.98,48.58,17.01
30691,County_30691,New Jersey,Urban,50.59,28.39,18.86,8.58,688.1,115063.0,12.12,72.31,12.46
52325,County_52325,Other,Rural,48.78,,21.15,4.75,1397.9,113823.0,15.35,79.6,
55517,County_55517,Other,Rural,46.41,27.28,12.43,8.64,737.7,61777.0,13.28,68.81,12.15
5805,County_5805,California,Urban,48.98,25.63,19.34,4.25,808.6,141195.0,10.76,67.27,13.43
23243,County_23243,Minnesota,Rural,41.84,32.64,18.25,8.98,637.6,92060.0,16.8,73.33,14.89
55125,County_55125,Other,Rural,49.37,21.98,29.82,5.72,1004.0,167088.0,17.83,68.9,2.8
21441,County_21441,Massachusetts,Urban,46.98,19.86,17.5,5.39,822.3,169282.0,11.14,67.67,9.68
9001,County_9001,Florida,Rural,51.63,27.8,15.74,3.44,1010.4,114925.0,23.95,53.0,16.02
19807,County_19807,Maine,Rural,51.6,26.68,22.95,6.84,1070.9,121029.0,9.78,,5.68
34247,County_34247,North Dakota,Urban,48.06,33.63,24.64,4.54,844.9,119495.0,25.07,57.1,19.0
27585,County_27585,Nebraska,Urban,61.92,37.5,14.18,,653.1,97664.0,17.02,53.71,16.95
11447,County_11447,Hawaii,Urban,61.33,31.73,19.59,6.71,558.3,126512.0,17.11,56.0,16.58
8341,County_8341,Delaware,Rural,56.39,19.46,18.06,5.39,902.1,178723.0,18.51,65.57,9.3
49733,County_49733,Wisconsin,Urban,54.03,33.96,11.87,7.16,399.7,62144.0,18.77,,24.78
41359,County_41359,South Dakota,Urban,50.21,,23.25,6.27,,150070.0,10.87,63.13,10.41
54961,County_54961,Other,Urban,61.44,26.39,17.18,7.97,875.2,111238.0,16.3,60.52,10.32
31503,County_31503,New Mexico,Rural,58.23,36.97,14.75,,673.2,93134.0,22.7,54.37,21.95
14791,County_14791,Indiana,Rural,61.04,30.53,14.61,4.57,514.7,30000.0,26.28,50.76,15.8
33477,County_33477,North Carolina,Rural,60.48,31.36,,8.66,620.9,95551.0,15.56,57.06,15.15
56141,County_56141,Other,Urban,39.94,26.59,18.59,4.01,653.5,136883.0,18.14,66.64,5.31
1363,County_1363,Alabama,Rural,59.55,30.52,14.55,4.86,399.0,63373.0,22.49,41.5,13.66
44571,County_44571,Utah,Urban,41.64,23.3,20.13,8.5,1111.0,154066.0,19.99,69.31,0.66
14255,County_14255,Indiana,Rural,43.6,35.79,17.11,6.62,702.4,106919.0,13.57,48.72,23.3
56709,County_56709,Other,Rural,49.81,22.14,18.19,7.96,1021.7,179284.0,16.2,62.36,11.73
23171,County_23171,Minnesota,Suburban/Small City,49.8,27.29,18.2,8.72,444.6,119578.0,14.36,51.35,17.79
39457,County_39457,Rhode Island,Rural,54.73,25.35,23.19,4.61,624.0,118859.0,18.07,52.99,16.94
12197,County_12197,Idaho,Rural,57.87,35.35,16.52,3.65,967.4,61003.0,14.98,53.8,15.82
49845,County_49845,Wisconsin,Rural,39.37,22.67,13.53,2.77,1018.8,163401.0,10.21,71.63,7.32
48381,County_48381,West Virginia,Rural,50.11,28.33,20.7,,790.4,154718.0,17.05,72.62,8.85
39709,County_39709,Rhode Island,Suburban/Small City,52.25,27.45,17.66,4.78,844.0,123085.0,16.29,58.67,11.66
40223,County_40223,South Carolina,Rural,57.58,23.35,14.28,6.71,731.1,153320.0,8.66,58.57,19.37
9441,County_9441,Florida,Urban,41.77,27.93,17.35,4.77,893.8,140608.0,10.08,74.15,11.52
14423,County_14423,Indiana,Rural,,27.13,19.2,7.49,1149.5,157226.0,5.65,71.06,9.19
30565,County_30565,New Jersey,Urban,52.16,19.96,16.93,7.33,898.1,121446.0,6.26,74.49,11.63
23479,County_23479,Minnesota,Urban,54.01,18.97,20.67,6.15,935.2,140019.0,17.85,63.06,15.39
49315,County_49315,Wisconsin,Urban,54.28,26.27,13.63,,922.8,124007.0,13.66,59.67,20.21
41105,County_41105,South Dakota,Urban,,36.5,15.07,6.56,803.3,119373.0,18.98,55.06,19.77
46793,County_46793,Virginia,Rural,58.65,32.27,17.34,6.26,842.4,146678.0,21.25,55.63,15.3
44109,County_44109,Utah,Urban,53.52,33.08,14.24,,765.8,131744.0,14.48,56.57,22.78
2933,County_2933,Alaska,Rural,63.0,27.02,11.89,6.55,989.6,94765.0,10.37,74.05,20.45
9957,County_9957,Florida,Urban,61.38,32.02,18.97,6.04,898.0,38693.0,8.14,77.51,
2787,County_2787,Alaska,Rural,57.61,31.68,14.37,6.93,795.1,113024.0,23.9,65.36,13.83
34335,County_34335,North Dakota,Urban,52.26,23.21,21.25,6.75,880.0,133870.0,11.98,67.51,16.16
54463,County_54463,Other,Rural,54.72,23.2,13.96,7.44,861.1,58658.0,20.34,76.84,16.8
46583,County_46583,Virginia,Urban,53.5,26.09,20.34,4.91,873.7,176759.0,14.27,65.38,10.96
1573,County_1573,Alabama,Urban,57.83,28.54,7.56,3.7,673.4,30759.0,18.52,53.74,17.7
13057,County_13057,Illinois,Rural,50.7,22.15,17.99,11.15,905.7,103815.0,16.49,63.02,19.08
54617,County_54617,Other,Rural,54.07,17.89,16.91,7.52,792.2,159188.0,11.78,65.83,11.91
8265,County_8265,Delaware,Rural,59.15,29.36,18.96,,962.0,126217.0,16.64,66.16,
51595,County_51595,Other,Rural,39.73,28.6,14.82,4.48,661.9,79459.0,21.45,56.31,13.25
12079,County_12079,Idaho,Rural,51.33,33.06,15.76,5.99,699.9,116934.0,18.44,59.62,15.7
51677,County_51677,Other,Rural,51.12,33.61,18.06,6.91,705.9,93310.0,,53.97,21.85
28493,County_28493,Nevada,Rural,57.11,31.76,19.11,7.32,777.1,84009.0,19.58,66.34,16.12
14961,County_14961,Indiana,Suburban/Small City,42.09,20.86,14.46,5.56,1046.2,115683.0,16.88,68.61,1.51
3159,County_3159,Arizona,Urban,46.44,24.19,12.53,7.4,,154120.0,15.41,53.99,10.49
55607,County_55607,Other,Rural,46.36,18.19,14.18,6.17,796.9,116825.0,23.58,67.18,11.79
24679,County_24679,Mississippi,Urban,65.01,35.77,17.28,4.15,660.7,131924.0,16.45,59.52,20.53
21725,County_21725,Massachusetts,Urban,46.32,22.34,19.87,7.64,906.4,151704.0,16.2,67.17,3.66
42897,County_42897,Tennessee,Rural,51.02,33.73,20.03,3.75,,45373.0,17.26,49.43,22.42
41827,County_41827,South Dakota,Suburban/Small City,49.22,30.35,21.29,4.53,544.7,158452.0,22.84,60.0,16.44
30667,County_30667,New Jersey,Urban,57.38,33.67,21.69,5.61,528.4,50103.0,16.04,59.71,21.83
53823,County_53823,Other,Suburban/Small City,49.17,25.33,19.26,5.32,1057.6,112299.0,14.79,54.62,3.42
23893,County_23893,Minnesota,Suburban/Small City,52.23,37.18,9.53,3.93,648.1,91622.0,13.77,62.15,26.29
24639,County_24639,Mississippi,Urban,61.93,33.57,14.41,1.49,683.7,30000.0,23.26,45.87,24.17
4315,County_4315,Arkansas,Rural,63.46,34.4,15.16,1.52,352.5,78873.0,25.72,42.98,25.66
4071,County_4071,Arkansas,Urban,48.37,21.14,20.94,8.84,1176.5,167326.0,13.45,52.43,9.41
43065,County_43065,Texas,Urban,58.15,32.67,14.36,4.39,934.4,137926.0,18.34,61.64,18.66
12669,County_12669,Idaho,Suburban/Small City,50.11,21.24,15.23,10.01,897.9,53516.0,19.85,59.96,17.64
48991,County_48991,West Virginia,Rural,,30.59,10.64,6.42,549.6,58134.0,16.61,49.41,16.59
21949,County_21949,Massachusetts,Suburban/Small City,45.36,22.33,20.32,9.99,1177.7,192038.0,18.51,68.65,0.0
27501,County_27501,Nebraska,Rural,38.12,23.12,14.12,10.21,1138.3,119767.0,15.27,68.95,12.01
6159,County_6159,Colorado,Rural,47.97,23.74,17.52,6.79,847.6,132506.0,,70.36,13.68
49449,County_49449,Wisconsin,Rural,44.86,26.27,17.9,4.17,917.1,136322.0,18.31,65.86,11.07
39353,County_39353,Rhode Island,Rural,55.46,36.08,,7.36,684.4,68774.0,18.66,46.47,27.97
52567,County_52567,Other,Rural,53.75,35.78,9.68,8.4,727.6,65663.0,16.21,44.46,21.9
2535,County_2535,Alaska,Urban,60.52,32.09,14.15,4.78,,121633.0,18.54,59.65,19.05
48527,County_48527,West Virginia,Urban,43.99,24.81,16.9,10.04,895.9,133422.0,15.74,59.56,14.46
26307,County_26307,Montana,Suburban/Small City,58.2,38.35,18.87,9.59,700.1,88864.0,23.92,49.53,21.48
33007,County_33007,North Carolina,Rural,45.23,26.87,16.99,6.11,832.0,114808.0,15.8,65.73,11.67
55595,County_55595,Other,Urban,56.85,24.65,10.71,6.41,857.5,104964.0,16.42,52.94,19.66
20833,County_20833,Maryland,Suburban/Small City,50.03,33.72,20.38,4.15,988.7,91284.0,21.27,61.33,18.67
52685,County_52685,Other,Urban,49.46,27.31,19.8,3.92,898.4,128696.0,18.18,49.84,12.77
10445,County_10445,Georgia,Urban,52.45,27.55,15.36,4.91,1263.1,106282.0,13.78,76.4,21.1
53153,County_53153,Other,Urban,60.66,31.33,17.12,,679.7,119481.0,18.16,64.47,18.57
29449,County_29449,New Hampshire,Suburban/Small City,46.01,29.46,10.07,8.11,854.3,155504.0,10.39,62.84,10.39
43179,County_43179,Texas,Rural,54.81,37.49,15.56,6.95,715.0,126044.0,25.06,65.22,11.41
39339,County_39339,Rhode Island,Rural,51.34,30.55,15.8,6.93,926.2,106775.0,18.51,56.41,14.91
43705,County_43705,Texas,Urban,46.3,25.69,12.22,5.8,781.1,102345.0,9.88,67.53,9.46
33745,County_33745,North Carolina,Rural,31.32,17.57,19.51,9.61,779.0,126254.0,11.95,72.95,6.08
12335,County_12335,Idaho,Urban,55.48,21.18,19.49,8.61,911.3,142607.0,17.97,62.89,13.22
23573,County_23573,Minnesota,Urban,53.42,29.75,17.79,7.05,759.8,106538.0,20.78,51.47,14.04
46635,County_46635,Virginia,Rural,45.62,22.47,18.09,6.93,948.9,80452.0,14.26,59.19,23.03
7151,County_7151,Connecticut,Suburban/Small City,51.7,30.83,14.44,5.55,835.0,91015.0,20.31,56.3,14.08
8681,County_8681,Delaware,Suburban/Small City,49.75,24.64,22.35,3.12,992.6,97547.0,,62.58,15.21
29903,County_29903,New Hampshire,Urban,53.58,21.73,16.65,7.22,845.1,115477.0,17.38,63.71,8.45
32979,County_32979,New York,Suburban/Small City,54.31,33.39,17.11,10.34,622.3,100103.0,13.59,50.2,24.05
48115,County_48115,West Virginia,Urban,54.32,29.57,16.31,5.84,862.4,79457.0,24.12,54.77,22.88
13469,County_13469,Illinois,Rural,48.13,26.02,17.93,4.26,944.0,162048.0,15.18,53.49,16.67
14375,County_14375,Indiana,Rural,45.78,22.37,17.8,4.94,756.7,111306.0,17.85,50.56,12.97
17185,County_17185,Kentucky,Urban,53.93,23.57,21.9,5.6,850.2,129421.0,,69.23,5.82
25895,County_25895,Missouri,Urban,43.7,26.76,23.23,9.01,779.1,153510.0,23.77,61.35,
11583,County_11583,Hawaii,Rural,50.1,30.38,12.23,1.36,728.6,58111.0,15.98,37.29,14.57
24151,County_24151,Mississippi,Rural,50.95,24.81,,9.28,944.2,183081.0,18.89,,13.01
24391,County_24391,Mississippi,Suburban/Small City,55.87,32.16,16.28,7.48,843.9,83122.0,20.39,47.25,12.79
11237,County_11237,Hawaii,Rural,48.87,28.79,17.21,6.84,1305.1,166557.0,5.68,75.37,11.97
12221,County_12221,Idaho,Rural,59.29,28.95,14.44,7.86,860.5,154686.0,20.26,58.23,14.12
20417,County_20417,Maryland,Rural,61.65,28.56,18.32,6.85,690.7,63948.0,21.89,47.19,25.82
19595,County_19595,Maine,Rural,47.82,25.58,16.72,9.36,1133.9,99065.0,18.38,62.17,9.99
30269,County_30269,New Jersey,Rural,54.49,29.56,20.34,6.98,1004.0,141781.0,18.46,48.37,14.68
32165,County_32165,New York,Suburban/Small City,51.85,28.57,11.06,7.08,401.3,40712.0,15.22,59.63,23.31
1353,County_1353,Alabama,Urban,36.84,29.0,17.02,8.76,651.6,164068.0,14.9,65.2,14.6
33153,County_33153,North Carolina,Suburban/Small City,56.1,32.76,8.29,3.57,408.8,,17.37,53.74,22.91
52779,County_52779,Other,Urban,58.7,,13.75,7.44,753.4,61407.0,18.45,51.71,19.05
38755,County_38755,Pennsylvania,Urban,48.63,23.93,21.18,8.39,981.3,139155.0,16.75,63.85,11.21
36617,County_36617,Oklahoma,Rural,46.89,21.31,16.57,9.58,1150.7,99573.0,16.77,71.5,8.95
53817,County_53817,Other,Rural,48.56,27.42,19.14,6.53,968.4,154204.0,17.29,67.26,6.54
48115,County_48115,West Virginia,Urban,61.03,43.54,15.14,4.96,405.7,118662.0,18.9,,22.3
21251,County_21251,Massachusetts,Rural,51.49,25.57,13.74,6.69,1257.2,106124.0,18.27,72.52,6.32
15251,County_15251,Iowa,Rural,50.07,27.84,16.9,4.11,803.3,76330.0,8.36,67.97,21.44
6907,County_6907,Colorado,Rural,51.62,30.99,15.2,5.79,696.2,60802.0,28.55,43.24,21.18
53943,County_53943,Other,Suburban/Small City,56.5,32.04,18.88,8.6,557.3,132853.0,25.17,56.87,22.8
5307,County_5307,California,Rural,38.73,24.85,11.55,5.3,703.5,169596.0,15.77,71.38,10.78
43061,County_43061,Texas,Rural,44.17,27.7,18.77,7.64,994.2,141419.0,6.97,77.51,12.65
52065,County_52065,Other,Rural,58.14,27.57,14.49,8.28,726.4,150940.0,16.95,62.45,12.52
8375,County_8375,Delaware,Urban,52.07,31.11,14.74,5.08,615.1,110793.0,20.62,57.26,16.58
55531,County_55531,Other,Rural,50.27,28.66,26.31,4.92,895.8,158457.0,12.56,76.83,13.23
5365,County_5365,California,Urban,51.46,25.95,15.15,6.23,1062.6,137240.0,17.58,58.42,11.31
26115,County_26115,Montana,Urban,45.17,28.28,,5.54,794.8,127803.0,18.89,50.03,19.48
24727,County_24727,Mississippi,Rural,48.99,31.47,18.27,6.41,561.2,57271.0,12.62,57.92,19.1
26491,County_26491,Montana,Rural,58.77,33.44,17.82,6.27,870.9,73020.0,22.7,50.97,13.39
19915,County_19915,Maine,Urban,59.14,29.94,10.97,6.14,436.8,99578.0,20.25,63.5,18.9
29697,County_29697,New Hampshire,Urban,41.95,,21.35,,871.8,163719.0,10.51,58.27,10.95
55325,County_55325,Other,Urban,43.26,31.7,18.8,5.65,686.7,105585.0,17.84,70.54,
7127,County_7127,Connecticut,Urban,55.1,23.21,,8.12,896.4,87063.0,21.9,64.7,19.82
24341,County_24341,Mississippi,Rural,56.37,31.44,18.17,4.27,480.0,65147.0,22.02,60.76,19.89
18005,County_18005,Louisiana,Urban,55.36,33.74,15.86,6.39,904.0,86280.0,15.19,61.94,20.89
14049,County_14049,Indiana,Rural,45.33,25.8,15.64,9.14,617.7,126970.0,10.07,62.49,9.71
53751,County_53751,Other,Urban,54.01,29.11,19.26,5.39,668.6,121339.0,19.26,74.0,13.65
28643,County_28643,Nevada,Rural,44.58,24.45,22.44,7.76,1156.1,212375.0,16.51,80.8,11.64
6209,County_6209,Colorado,Rural,52.48,26.42,14.27,7.24,542.6,124537.0,17.03,56.92,22.86
25399,County_25399,Missouri,Urban,60.66,26.22,16.98,7.61,1212.2,147244.0,10.71,66.96,17.29
33039,County_33039,North Carolina,Urban,52.37,34.29,14.02,7.09,300.0,59553.0,12.1,54.99,26.88
27849,County_27849,Nebraska,Urban,51.47,32.6,17.45,3.53,974.5,178583.0,19.33,63.6,15.63
14337,County_14337,Indiana,Suburban/Small City,61.73,29.62,19.35,9.83,512.8,59869.0,15.88,52.58,12.74
19525,County_19525,Maine,Urban,59.64,22.63,16.97,8.78,822.0,192636.0,16.28,65.31,6.54
8951,County_8951,Delaware,Rural,54.71,27.89,12.35,5.31,649.9,117474.0,17.81,54.69,24.44
28703,County_28703,Nevada,Urban,55.21,33.46,18.02,3.51,568.3,41513.0,27.83,52.58,27.81
51357,County_51357,Other,Urban,41.78,34.46,16.27,5.58,631.1,100786.0,18.09,54.32,13.02
35709,County_35709,Ohio,Suburban/Small City,53.56,33.12,14.02,6.65,613.0,30000.0,13.03,46.71,17.92
24493,County_24493,Mississippi,Rural,62.64,34.48,11.38,5.8,672.2,71447.0,16.71,60.14,18.74
33987,County_33987,North Carolina,Rural,56.8,26.11,20.58,6.05,766.2,70753.0,23.61,58.31,20.13
41199,County_41199,South Dakota,Urban,47.57,25.54,11.17,8.37,876.6,129061.0,19.16,62.94,18.87
30835,County_30835,New Jersey,Urban,58.46,26.46,19.98,7.38,467.7,173177.0,23.38,43.38,21.82
25167,County_25167,Missouri,Rural,58.76,30.94,15.38,4.98,648.6,129860.0,17.36,47.92,11.14
11275,County_11275,Hawaii,Rural,51.81,31.94,19.99,6.46,1077.3,,13.9,54.17,
3323,County_3323,Arizona,Urban,44.27,24.92,17.26,7.46,980.0,110387.0,12.67,73.48,20.19
50229,County_50229,Wyoming,Urban,47.64,28.52,15.64,6.32,872.1,135398.0,14.06,62.56,16.53
9817,County_9817,Florida,Urban,55.57,28.05,21.18,4.35,547.7,49047.0,16.06,60.07,21.81
26671,County_26671,Montana,Urban,48.36,24.06,19.68,9.41,649.2,148157.0,13.19,66.7,16.33
20607,County_20607,Maryland,Suburban/Small City,40.57,26.72,23.33,10.55,991.1,149358.0,20.99,79.61,10.5
31589,County_31589,New Mexico,Rural,55.05,27.54,14.03,4.78,514.6,45713.0,23.76,53.87,19.99
35953,County_35953,Ohio,Urban,46.52,28.53,15.61,8.11,846.3,108560.0,12.64,52.1,19.44
55987,County_55987,Other,Rural,48.43,19.17,18.61,6.78,1105.9,145977.0,9.09,,13.04
50577,County_50577,Wyoming,Urban,64.88,37.14,12.52,5.2,593.3,30000.0,26.74,43.73,22.05
1753,County_1753,Alabama,Rural,58.8,25.6,20.53,4.69,756.1,149268.0,16.4,58.07,12.55
28261,County_28261,Nevada,Rural,43.72,23.21,24.19,8.76,887.5,109256.0,16.69,60.92,14.54
4503,County_4503,Arkansas,Urban,45.09,18.38,21.47,9.68,926.4,140018.0,21.22,62.58,17.01
33907,County_33907,North Carolina,Urban,45.82,31.26,16.76,6.93,781.9,108845.0,15.47,69.97,17.14
26753,County_26753,Montana,Urban,54.33,20.31,16.81,6.5,872.1,157248.0,13.46,50.44,11.25
16723,County_16723,Kansas,Rural,48.9,25.12,17.6,4.94,984.0,103738.0,15.26,76.68,4.79
20193,County_20193,Maryland,Rural,60.86,28.79,14.62,6.59,323.6,72872.0,16.0,55.92,17.07
11037,County_11037,Hawaii,Rural,52.27,31.46,14.61,6.95,636.7,121213.0,19.92,47.46,18.65
40635,County_40635,South Carolina,Urban,43.17,22.1,15.61,7.14,1093.4,161844.0,11.93,56.19,11.32
56937,County_56937,Other,Rural,46.12,27.54,18.24,7.29,1047.5,150128.0,11.6,74.21,10.58
44259,County_44259,Utah,Rural,51.47,39.06,16.34,4.09,735.5,30000.0,17.98,46.92,24.2
42033,County_42033,Tennessee,Urban,49.36,27.62,18.1,3.62,688.0,95794.0,20.66,61.02,18.79
38923,County_38923,Pennsylvania,Suburban/Small City,57.23,26.89,15.99,4.12,787.3,120109.0,14.89,60.98,15.12
53381,County_53381,Other,Rural,45.76,20.36,17.95,5.5,706.5,110888.0,12.41,64.92,13.71
20163,County_20163,Maryland,Urban,45.02,26.86,15.53,5.8,446.1,137380.0,23.92,74.32,18.19
39633,County_39633,Rhode Island,Rural,56.35,28.73,16.29,6.95,801.7,,13.57,41.56,20.18
34199,County_34199,North Dakota,Rural,55.97,32.48,11.78,9.89,689.9,137898.0,15.49,63.38,18.99
9779,County_9779,Florida,Rural,52.85,31.79,21.85,10.0,998.1,95378.0,18.95,70.28,17.38
32717,County_32717,New York,Suburban/Small City,46.54,17.28,19.53,6.49,988.1,65994.0,7.41,64.6,8.21
26177,County_26177,Montana,Urban,49.41,22.18,17.94,4.66,999.2,106520.0,9.73,72.25,11.23
8439,County_8439,Delaware,Rural,56.0,33.8,14.0,4.93,681.6,113966.0,27.8,59.89,10.85
16225,County_16225,Kansas,Rural,56.05,28.64,16.04,6.05,642.0,110884.0,19.13,56.41,20.05
42089,County_42089,Tennessee,Urban,55.55,24.04,17.14,8.16,1067.8,110086.0,17.13,52.36,16.08
38241,County_38241,Pennsylvania,Rural,47.39,30.89,14.17,2.73,727.3,51339.0,15.23,45.98,18.73
45443,County_45443,Vermont,Urban,61.62,35.78,10.99,1.19,401.2,107858.0,22.27,42.66,
21521,County_21521,Massachusetts,Urban,45.51,25.15,19.41,4.56,999.0,159859.0,13.32,53.51,22.85
8477,County_8477,Delaware,Suburban/Small City,62.85,31.23,18.4,4.21,947.5,75246.0,20.31,49.03,18.18
26983,County_26983,Montana,Suburban/Small City,53.32,25.05,23.36,4.41,942.6,135595.0,21.29,63.57,17.24
24629,County_24629,Mississippi,Rural,,24.1,13.01,6.71,508.7,118105.0,9.89,64.61,11.8
27743,County_27743,Nebraska,Rural,52.2,31.24,,6.86,680.1,57106.0,18.33,44.68,19.26
3123,County_3123,Arizona,Suburban/Small City,57.65,30.0,11.86,4.74,626.6,103806.0,15.73,62.22,14.95
19091,County_19091,Maine,Rural,46.34,27.51,21.15,7.25,930.4,166215.0,8.22,73.54,6.87
23951,County_23951,Minnesota,Rural,53.09,,17.78,7.44,727.8,104567.0,19.95,51.73,20.66
49109,County_49109,Wisconsin,Suburban/Small City,46.98,16.22,21.84,,1189.7,176605.0,16.5,58.32,11.09
50695,County_50695,Wyoming,Rural,56.4,26.04,19.3,8.07,725.2,114294.0,13.3,,13.91
13401,County_13401,Illinois,Rural,51.64,19.6,18.69,6.64,556.5,141186.0,15.79,64.81,8.84
45595,County_45595,Vermont,Urban,56.77,27.19,12.35,7.66,641.7,50646.0,22.7,37.31,16.81
30955,County_30955,New Jersey,Rural,57.54,32.98,22.05,,685.3,55436.0,18.14,50.4,17.88
48429,County_48429,West Virginia,Urban,44.4,36.2,,8.43,877.3,140724.0,15.16,61.47,23.24
20207,County_20207,Maryland,Urban,52.55,28.32,19.42,3.88,837.3,132524.0,20.74,54.75,9.74
56785,County_56785,Other,Urban,48.72,17.03,15.7,6.92,899.5,143139.0,17.96,65.68,12.48
39239,County_39239,Rhode Island,Rural,57.39,31.48,15.23,4.52,300.0,76577.0,20.39,46.58,25.15
15915,County_15915,Iowa,Urban,56.08,25.86,21.5,3.37,974.7,97587.0,16.75,55.87,12.19
4913,County_4913,Arkansas,Rural,57.99,29.41,15.95,4.68,300.0,32835.0,,45.95,17.78
24409,County_24409,Mississippi,Rural,56.72,30.67,17.06,3.39,813.3,83345.0,18.39,50.7,21.73
34181,County_34181,North Dakota,Rural,44.62,24.96,16.1,8.67,938.0,160007.0,14.2,62.68,5.32
49791,County_49791,Wisconsin,Rural,58.01,35.63,15.27,3.15,628.7,48817.0,15.06,51.55,23.63
14837,County_14837,Indiana,Rural,52.56,31.29,17.38,5.45,881.8,95877.0,17.74,62.68,23.18
25271,County_25271,Missouri,Urban,55.44,29.95,19.21,4.46,865.2,150783.0,17.38,76.49,13.65
38503,County_38503,Pennsylvania,Rural,45.15,17.37,15.18,9.78,953.3,163030.0,10.79,71.81,19.6
