COUNTYFIPS,COUNTY,STATE,rucc_2013_code,community_type,nchs_urban_rural_code
36617,County_36617,Oklahoma,6.0,Rural,5.0
53817,County_53817,Other,8.0,Rural,6.0
48115,County_48115,West Virginia,2.0,Urban,2.0
21251,County_21251,Massachusetts,7.0,Rural,5.0
15251,County_15251,Iowa,9.0,Rural,6.0
6907,County_6907,Colorado,9.0,Rural,6.0
53943,County_53943,Other,5.0,Suburban/Small City,4.0
5307,County_5307,California,8.0,Rural,6.0
43061,County_43061,Texas,6.0,Rural,5.0
52065,County_52065,Other,9.0,Rural,6.0
8375,County_8375,Delaware,3.0,Urban,3.0
55531,County_55531,Other,8.0,Rural,6.0
5365,County_5365,California,2.0,Urban,2.0
26115,County_26115,Montana,3.0,Urban,3.0
24727,County_24727,Mississippi,7.0,Rural,5.0
26491,County_26491,Montana,8.0,Rural,6.0
19915,County_19915,Maine,1.0,Urban,1.0
29697,County_29697,New Hampshire,1.0,Urban,1.0
55325,County_55325,Other,1.0,Urban,1.0
7127,County_7127,Connecticut,2.0,Urban,2.0
24341,County_24341,Mississippi,9.0,Rural,6.0
18005,County_18005,Louisiana,2.0,Urban,2.0
14049,County_14049,Indiana,8.0,Rural,6.0
53751,County_53751,Other,1.0,Urban,1.0
28643,County_28643,Nevada,6.0,Rural,5.0
6209,County_6209,Colorado,6.0,Rural,5.0
25399,County_25399,Missouri,1.0,Urban,1.0
33039,County_33039,North Carolina,1.0,Urban,1.0
27849,County_27849,Nebraska,2.0,Urban,2.0
14337,County_14337,Indiana,5.0,Suburban/Small City,4.0
19525,County_19525,Maine,3.0,Urban,3.0
8951,County_8951,Delaware,7.0,Rural,5.0
28703,County_28703,Nevada,1.0,Urban,1.0
51357,County_51357,Other,1.0,Urban,1.0
35709,County_35709,Ohio,5.0,Suburban/Small City,4.0
24493,County_24493,Mississippi,7.0,Rural,5.0
33987,County_33987,North Carolina,9.0,Rural,6.0
41199,County_41199,South Dakota,2.0,Urban,2.0
30835,County_30835,New Jersey,2.0,Urban,2.0
25167,County_25167,Missouri,8.0,Rural,6.0
11275,County_11275,Hawaii,8.0,Rural,6.0
3323,County_3323,Arizona,3.0,Urban,3.0
50229,County_50229,Wyoming,2.0,Urban,2.0
9817,County_9817,Florida,1.0,Urban,1.0
26671,County_26671,Montana,2.0,Urban,2.0
20607,County_20607,Maryland,5.0,Suburban/Small City,4.0
31589,County_31589,New Mexico,8.0,Rural,6.0
35953,County_35953,Ohio,2.0,Urban,2.0
55987,County_55987,Other,9.0,Rural,6.0
50577,County_50577,Wyoming,3.0,Urban,3.0
1753,County_1753,Alabama,8.0,Rural,6.0
28261,County_28261,Nevada,8.0,Rural,6.0
4503,County_4503,Arkansas,1.0,Urban,1.0
33907,County_33907,North Carolina,3.0,Urban,3.0
26753,County_26753,Montana,1.0,Urban,1.0
16723,County_16723,Kansas,6.0,Rural,5.0
20193,County_20193,Maryland,7.0,Rural,5.0
11037,County_11037,Hawaii,8.0,Rural,6.0
40635,County_40635,South Carolina,2.0,Urban,2.0
56937,County_56937,Other,9.0,Rural,6.0
44259,County_44259,Utah,6.0,Rural,5.0
42033,County_42033,Tennessee,2.0,Urban,2.0
38923,County_38923,Pennsylvania,5.0,Suburban/Small City,4.0
53381,County_53381,Other,7.0,Rural,5.0
20163,County_20163,Maryland,1.0,Urban,1.0
39633,County_39633,Rhode Island,6.0,Rural,5.0
34199,County_34199,North Dakota,6.0,Rural,5.0
9779,County_9779,Florida,9.0,Rural,6.0
32717,County_32717,New York,4.0,Suburban/Small City,4.0
26177,County_26177,Montana,1.0,Urban,1.0
8439,County_8439,Delaware,7.0,Rural,5.0
16225,County_16225,Kansas,8.0,Rural,6.0
42089,County_42089,Tennessee,2.0,Urban,2.0
38241,County_38241,Pennsylvania,6.0,Rural,5.0
45443,County_45443,Vermont,2.0,Urban,2.0
21521,County_21521,Massachusetts,3.0,Urban,3.0
8477,County_8477,Delaware,4.0,Suburban/Small City,4.0
26983,County_26983,Montana,5.0,Suburban/Small City,4.0
24629,County_24629,Mississippi,6.0,Rural,5.0
27743,County_27743,Nebraska,9.0,Rural,6.0
3123,County_3123,Arizona,4.0,Suburban/Small City,4.0
19091,County_19091,Maine,8.0,Rural,6.0
23951,County_23951,Minnesota,8.0,Rural,6.0
49109,County_49109,Wisconsin,4.0,Suburban/Small City,4.0
50695,County_50695,Wyoming,7.0,Rural,5.0
13401,County_13401,Illinois,8.0,Rural,6.0
45595,County_45595,Vermont,2.0,Urban,2.0
30955,County_30955,New Jersey,8.0,Rural,6.0
48429,County_48429,West Virginia,1.0,Urban,1.0
20207,County_20207,Maryland,3.0,Urban,3.0
56785,County_56785,Other,1.0,Urban,1.0
39239,County_39239,Rhode Island,9.0,Rural,6.0
15915,County_15915,Iowa,2.0,Urban,2.0
4913,County_4913,Arkansas,6.0,Rural,5.0
24409,County_24409,Mississippi,9.0,Rural,6.0
34181,County_34181,North Dakota,7.0,Rural,5.0
49791,County_49791,Wisconsin,9.0,Rural,6.0
14837,County_14837,Indiana,8.0,Rural,6.0
25271,County_25271,Missouri,1.0,Urban,1.0
38503,County_38503,Pennsylvania,9.0,Rural,6.0
53553,County_53553,Other,4.0,Suburban/Small City,4.0
24483,County_24483,Mississippi,8.0,Rural,6.0
4953,County_4953,Arkansas,1.0,Urban,1.0
42177,County_42177,Tennessee,8.0,Rural,6.0
21779,County_21779,Massachusetts,8.0,Rural,6.0
51985,County_51985,Other,8.0,Rural,6.0
40433,County_40433,South Carolina,2.0,Urban,2.0
48283,County_48283,West Virginia,2.0,Urban,2.0
22547,County_22547,Michigan,1.0,Urban,1.0
13699,County_13699,Illinois,2.0,Urban,2.0
20887,County_20887,Maryland,3.0,Urban,3.0
2661,County_2661,Alaska,5.0,Suburban/Small City,4.0
26439,County_26439,Montana,2.0,Urban,2.0
37169,County_37169,Oregon,9.0,Rural,6.0
20729,County_20729,Maryland,3.0,Urban,3.0
8675,County_8675,Delaware,6.0,Rural,5.0
19995,County_19995,Maine,4.0,Suburban/Small City,4.0
17163,County_17163,Kentucky,6.0,Rural,5.0
14673,County_14673,Indiana,2.0,Urban,2.0
27507,County_27507,Nebraska,6.0,Rural,5.0
35353,County_35353,Ohio,9.0,Rural,6.0
23199,County_23199,Minnesota,3.0,Urban,3.0
6777,County_6777,Colorado,8.0,Rural,6.0
22207,County_22207,Michigan,6.0,Rural,5.0
19631,County_19631,Maine,5.0,Suburban/Small City,4.0
51037,County_51037,Other,2.0,Urban,2.0
10237,County_10237,Georgia,7.0,Rural,5.0
6883,County_6883,Colorado,3.0,Urban,3.0
10297,County_10297,Georgia,8.0,Rural,6.0
43169,County_43169,Texas,8.0,Rural,6.0
12317,County_12317,Idaho,9.0,Rural,6.0
49107,County_49107,Wisconsin,2.0,Urban,2.0
30077,County_30077,New Jersey,9.0,Rural,6.0
21009,County_21009,Massachusetts,3.0,Urban,3.0
39777,County_39777,Rhode Island,1.0,Urban,1.0
49677,County_49677,Wisconsin,9.0,Rural,6.0
26687,County_26687,Montana,3.0,Urban,3.0
20455,County_20455,Maryland,3.0,Urban,3.0
36631,County_36631,Oklahoma,1.0,Urban,1.0
19923,County_19923,Maine,5.0,Suburban/Small City,4.0
56401,County_56401,Other,1.0,Urban,1.0
8289,County_8289,Delaware,7.0,Rural,5.0
9661,County_9661,Florida,5.0,Suburban/Small City,4.0
38257,County_38257,Pennsylvania,3.0,Urban,3.0
18633,County_18633,Louisiana,7.0,Rural,5.0
33343,County_33343,North Carolina,6.0,Rural,5.0
42303,County_42303,Tennessee,8.0,Rural,6.0
54305,County_54305,Other,5.0,Suburban/Small City,4.0
20161,County_20161,Maryland,1.0,Urban,1.0
21675,County_21675,Massachusetts,5.0,Suburban/Small City,4.0
46697,County_46697,Virginia,6.0,Rural,5.0
11979,County_11979,Hawaii,1.0,Urban,1.0
54005,County_54005,Other,6.0,Rural,5.0
15169,County_15169,Iowa,9.0,Rural,6.0
39507,County_39507,Rhode Island,6.0,Rural,5.0
28721,County_28721,Nevada,1.0,Urban,1.0
33077,County_33077,North Carolina,1.0,Urban,1.0
53843,County_53843,Other,2.0,Urban,2.0
54743,County_54743,Other,3.0,Urban,3.0
42463,County_42463,Tennessee,6.0,Rural,5.0
50921,County_50921,Wyoming,2.0,Urban,2.0
44779,County_44779,Utah,3.0,Urban,3.0
30805,County_30805,New Jersey,8.0,Rural,6.0
55679,County_55679,Other,7.0,Rural,5.0
16113,County_16113,Kansas,5.0,Suburban/Small City,4.0
43217,County_43217,Texas,3.0,Urban,3.0
32849,County_32849,New York,1.0,Urban,1.0
45827,County_45827,Vermont,2.0,Urban,2.0
37909,County_37909,Oregon,7.0,Rural,5.0
17399,County_17399,Kentucky,1.0,Urban,1.0
38595,County_38595,Pennsylvania,6.0,Rural,5.0
18085,County_18085,Louisiana,8.0,Rural,6.0
23215,County_23215,Minnesota,3.0,Urban,3.0
44921,County_44921,Utah,6.0,Rural,5.0
42815,County_42815,Tennessee,5.0,Suburban/Small City,4.0
8035,County_8035,Delaware,1.0,Urban,1.0
13951,County_13951,Illinois,9.0,Rural,6.0
44193,County_44193,Utah,6.0,Rural,5.0
13213,County_13213,Illinois,3.0,Urban,3.0
26079,County_26079,Montana,3.0,Urban,3.0
40851,County_40851,South Carolina,8.0,Rural,6.0
38077,County_38077,Pennsylvania,7.0,Rural,5.0
31161,County_31161,New Mexico,4.0,Suburban/Small City,4.0
8135,County_8135,Delaware,8.0,Rural,6.0
29047,County_29047,New Hampshire,5.0,Suburban/Small City,4.0
15909,County_15909,Iowa,6.0,Rural,5.0
2319,County_2319,Alaska,1.0,Urban,1.0
46267,County_46267,Virginia,1.0,Urban,1.0
55631,County_55631,Other,1.0,Urban,1.0
28553,County_28553,Nevada,4.0,Suburban/Small City,4.0
12941,County_12941,Idaho,9.0,Rural,6.0
11591,County_11591,Hawaii,1.0,Urban,1.0
52257,County_52257,Other,1.0,Urban,1.0
33251,County_33251,North Carolina,9.0,Rural,6.0
3725,County_3725,Arizona,3.0,Urban,3.0
31417,County_31417,New Mexico,8.0,Rural,6.0
13149,County_13149,Illinois,7.0,Rural,5.0
40725,County_40725,South Carolina,8.0,Rural,6.0
56063,County_56063,Other,2.0,Urban,2.0
24317,County_24317,Mississippi,1.0,Urban,1.0
18341,County_18341,Louisiana,3.0,Urban,3.0
15601,County_15601,Iowa,9.0,Rural,6.0
2943,County_2943,Alaska,3.0,Urban,3.0
10949,County_10949,Georgia,9.0,Rural,6.0
1041,County_1041,Alabama,8.0,Rural,6.0
9777,County_9777,Florida,8.0,Rural,6.0
27263,County_27263,Nebraska,9.0,Rural,6.0
1701,County_1701,Alabama,3.0,Urban,3.0
41389,County_41389,South Dakota,7.0,Rural,5.0
18099,County_18099,Louisiana,2.0,Urban,2.0
33977,County_33977,North Carolina,5.0,Suburban/Small City,4.0
32383,County_32383,New York,7.0,Rural,5.0
48105,County_48105,West Virginia,5.0,Suburban/Small City,4.0
5719,County_5719,California,9.0,Rural,6.0
21621,County_21621,Massachusetts,7.0,Rural,5.0
21237,County_21237,Massachusetts,7.0,Rural,5.0
51665,County_51665,Other,2.0,Urban,2.0
26887,County_26887,Montana,8.0,Rural,6.0
7849,County_7849,Connecticut,7.0,Rural,5.0
46889,County_46889,Virginia,2.0,Urban,2.0
16355,County_16355,Kansas,3.0,Urban,3.0
17175,County_17175,Kentucky,9.0,Rural,6.0
56707,County_56707,Other,9.0,Rural,6.0
21071,County_21071,Massachusetts,8.0,Rural,6.0
34825,County_34825,North Dakota,9.0,Rural,6.0
38521,County_38521,Pennsylvania,1.0,Urban,1.0
55273,County_55273,Other,9.0,Rural,6.0
25471,County_25471,Missouri,5.0,Suburban/Small City,4.0
23357,County_23357,Minnesota,3.0,Urban,3.0
8215,County_8215,Delaware,8.0,Rural,6.0
26945,County_26945,Montana,7.0,Rural,5.0
43269,County_43269,Texas,6.0,Rural,5.0
5749,County_5749,California,8.0,Rural,6.0
34923,County_34923,North Dakota,1.0,Urban,1.0
21557,County_21557,Massachusetts,6.0,Rural,5.0
52597,County_52597,Other,8.0,Rural,6.0
27993,County_27993,Nebraska,1.0,Urban,1.0
40159,County_40159,South Carolina,6.0,Rural,5.0
28781,County_28781,Nevada,6.0,Rural,5.0
45099,County_45099,Vermont,6.0,Rural,5.0
17679,County_17679,Kentucky,4.0,Suburban/Small City,4.0
53289,County_53289,Other,9.0,Rural,6.0
44211,County_44211,Utah,6.0,Rural,5.0
30561,County_30561,New Jersey,1.0,Urban,1.0
20501,County_20501,Maryland,8.0,Rural,6.0
51407,County_51407,Other,8.0,Rural,6.0
27011,County_27011,Nebraska,6.0,Rural,5.0
38923,County_38923,Pennsylvania,5.0,Suburban/Small City,4.0
21681,County_21681,Massachusetts,8.0,Rural,6.0
8899,County_8899,Delaware,5.0,Suburban/Small City,4.0
14069,County_14069,Indiana,2.0,Urban,2.0
4615,County_4615,Arkansas,3.0,Urban,3.0
35427,County_35427,Ohio,6.0,Rural,5.0
2549,County_2549,Alaska,5.0,Suburban/Small City,4.0
26209,County_26209,Montana,7.0,Rural,5.0
43117,County_43117,Texas,7.0,Rural,5.0
34889,County_34889,North Dakota,8.0,Rural,6.0
9819,County_9819,Florida,9.0,Rural,6.0
31887,County_31887,New Mexico,9.0,Rural,6.0
48807,County_48807,West Virginia,7.0,Rural,5.0
27447,County_27447,Nebraska,8.0,Rural,6.0
18273,County_18273,Louisiana,2.0,Urban,2.0
34399,County_34399,North Dakota,2.0,Urban,2.0
17981,County_17981,Kentucky,2.0,Urban,2.0
8393,County_8393,Delaware,6.0,Rural,5.0
22439,County_22439,Michigan,2.0,Urban,2.0
31785,County_31785,New Mexico,7.0,Rural,5.0
6853,County_6853,Colorado,1.0,Urban,1.0
16195,County_16195,Kansas,5.0,Suburban/Small City,4.0
16181,County_16181,Kansas,5.0,Suburban/Small City,4.0
8141,County_8141,Delaware,9.0,Rural,6.0
27479,County_27479,Nebraska,8.0,Rural,6.0
6177,County_6177,Colorado,2.0,Urban,2.0
17721,County_17721,Kentucky,6.0,Rural,5.0
1901,County_1901,Alabama,1.0,Urban,1.0
41619,County_41619,South Dakota,7.0,Rural,5.0
47163,County_47163,Washington,2.0,Urban,2.0
33181,County_33181,North Carolina,2.0,Urban,2.0
33085,County_33085,North Carolina,7.0,Rural,5.0
53981,County_53981,Other,7.0,Rural,5.0
28213,County_28213,Nevada,7.0,Rural,5.0
12067,County_12067,Idaho,6.0,Rural,5.0
5343,County_5343,California,6.0,Rural,5.0
46755,County_46755,Virginia,6.0,Rural,5.0
7325,County_7325,Connecticut,9.0,Rural,6.0
49117,County_49117,Wisconsin,3.0,Urban,3.0
48533,County_48533,West Virginia,3.0,Urban,3.0
16777,County_16777,Kansas,7.0,Rural,5.0
37595,County_37595,Oregon,1.0,Urban,1.0
22493,County_22493,Michigan,8.0,Rural,6.0
2275,County_2275,Alaska,8.0,Rural,6.0
4643,County_4643,Arkansas,7.0,Rural,5.0
38739,County_38739,Pennsylvania,9.0,Rural,6.0
55373,County_55373,Other,8.0,Rural,6.0
54673,County_54673,Other,6.0,Rural,5.0
31063,County_31063,New Mexico,9.0,Rural,6.0
13589,County_13589,Illinois,3.0,Urban,3.0
5983,County_5983,California,9.0,Rural,6.0
11007,County_11007,Hawaii,6.0,Rural,5.0
28815,County_28815,Nevada,2.0,Urban,2.0
37719,County_37719,Oregon,2.0,Urban,2.0
8743,County_8743,Delaware,4.0,Suburban/Small City,4.0
45629,County_45629,Vermont,9.0,Rural,6.0
26301,County_26301,Montana,6.0,Rural,5.0
35927,County_35927,Ohio,3.0,Urban,3.0
21201,County_21201,Massachusetts,9.0,Rural,6.0
35409,County_35409,Ohio,1.0,Urban,1.0
16947,County_16947,Kansas,1.0,Urban,1.0
22519,County_22519,Michigan,8.0,Rural,6.0
38649,County_38649,Pennsylvania,8.0,Rural,6.0
17017,County_17017,Kentucky,7.0,Rural,5.0
41105,County_41105,South Dakota,7.0,Rural,5.0
16715,County_16715,Kansas,7.0,Rural,5.0
34483,County_34483,North Dakota,8.0,Rural,6.0
25785,County_25785,Missouri,6.0,Rural,5.0
8217,County_8217,Delaware,7.0,Rural,5.0
34571,County_34571,North Dakota,9.0,Rural,6.0
5757,County_5757,California,1.0,Urban,1.0
9769,County_9769,Florida,9.0,Rural,6.0
33615,County_33615,North Carolina,8.0,Rural,6.0
19369,County_19369,Maine,2.0,Urban,2.0
32239,County_32239,New York,2.0,Urban,2.0
19115,County_19115,Maine,3.0,Urban,3.0
4513,County_4513,Arkansas,5.0,Suburban/Small City,4.0
32147,County_32147,New York,9.0,Rural,6.0
4835,County_4835,Arkansas,4.0,Suburban/Small City,4.0
1763,County_1763,Alabama,9.0,Rural,6.0
4621,County_4621,Arkansas,9.0,Rural,6.0
34387,County_34387,North Dakota,8.0,Rural,6.0
28045,County_28045,Nevada,9.0,Rural,6.0
16741,County_16741,Kansas,2.0,Urban,2.0
23947,County_23947,Minnesota,7.0,Rural,5.0
43879,County_43879,Texas,7.0,Rural,5.0
55623,County_55623,Other,7.0,Rural,5.0
21777,County_21777,Massachusetts,3.0,Urban,3.0
32479,County_32479,New York,2.0,Urban,2.0
10963,County_10963,Georgia,1.0,Urban,1.0
50101,County_50101,Wyoming,4.0,Suburban/Small City,4.0
25989,County_25989,Missouri,9.0,Rural,6.0
35811,County_35811,Ohio,8.0,Rural,6.0
26961,County_26961,Montana,7.0,Rural,5.0
20293,County_20293,Maryland,5.0,Suburban/Small City,4.0
30541,County_30541,New Jersey,1.0,Urban,1.0
50211,County_50211,Wyoming,8.0,Rural,6.0
27959,County_27959,Nebraska,9.0,Rural,6.0
36565,County_36565,Oklahoma,9.0,Rural,6.0
38017,County_38017,Pennsylvania,8.0,Rural,6.0
15083,County_15083,Iowa,2.0,Urban,2.0
50475,County_50475,Wyoming,7.0,Rural,5.0
40989,County_40989,South Carolina,1.0,Urban,1.0
48239,County_48239,West Virginia,1.0,Urban,1.0
21353,County_21353,Massachusetts,4.0,Suburban/Small City,4.0
19479,County_19479,Maine,8.0,Rural,6.0
3869,County_3869,Arizona,8.0,Rural,6.0
12621,County_12621,Idaho,6.0,Rural,5.0
49409,County_49409,Wisconsin,5.0,Suburban/Small City,4.0
35815,County_35815,Ohio,9.0,Rural,6.0
4051,County_4051,Arkansas,8.0,Rural,6.0
49391,County_49391,Wisconsin,9.0,Rural,6.0
32555,County_32555,New York,3.0,Urban,3.0
11049,County_11049,Hawaii,9.0,Rural,6.0
25671,County_25671,Missouri,2.0,Urban,2.0
4005,County_4005,Arkansas,2.0,Urban,2.0
19525,County_19525,Maine,8.0,Rural,6.0
51331,County_51331,Other,7.0,Rural,5.0
53087,County_53087,Other,6.0,Rural,5.0
46225,County_46225,Virginia,8.0,Rural,6.0
37775,County_37775,Oregon,7.0,Rural,5.0
16679,County_16679,Kansas,6.0,Rural,5.0
4861,County_4861,Arkansas,3.0,Urban,3.0
35051,County_35051,Ohio,4.0,Suburban/Small City,4.0
9843,County_9843,Florida,8.0,Rural,6.0
41835,County_41835,South Dakota,9.0,Rural,6.0
48451,County_48451,West Virginia,2.0,Urban,2.0
47645,County_47645,Washington,1.0,Urban,1.0
37163,County_37163,Oregon,2.0,Urban,2.0
12135,County_12135,Idaho,2.0,Urban,2.0
35863,County_35863,Ohio,7.0,Rural,5.0
30837,County_30837,New Jersey,2.0,Urban,2.0
55151,County_55151,Other,5.0,Suburban/Small City,4.0
55711,County_55711,Other,2.0,Urban,2.0
7357,County_7357,Connecticut,9.0,Rural,6.0
48647,County_48647,West Virginia,1.0,Urban,1.0
12593,County_12593,Idaho,8.0,Rural,6.0
10219,County_10219,Georgia,1.0,Urban,1.0
34497,County_34497,North Dakota,5.0,Suburban/Small City,4.0
47103,County_47103,Washington,8.0,Rural,6.0
