COUNTYFIPS,COUNTY,STATE,community_type,unemployment_rate_pct,acs_unemployment_rate_pct,employment_rate_pct,pct_not_in_labor_force
10445,County_10445,Georgia,Urban,10.06,10.19,45.71,44.1
53153,County_53153,Other,Urban,10.63,10.16,44.44,45.4
29449,County_29449,New Hampshire,Suburban/Small City,7.96,9.18,46.9,43.92
43179,County_43179,Texas,Rural,7.77,7.82,45.78,46.4
39339,County_39339,Rhode Island,Rural,9.18,9.97,48.97,41.06
43705,County_43705,Texas,Urban,7.61,8.16,50.42,41.42
33745,County_33745,North Carolina,Rural,7.24,7.37,53.51,39.11
12335,County_12335,Idaho,Urban,6.32,7.04,56.14,36.82
23573,County_23573,Minnesota,Urban,10.84,11.26,52.74,36.0
46635,County_46635,Virginia,Rural,9.48,9.7,,44.49
7151,County_7151,Connecticut,Suburban/Small City,13.02,13.15,51.0,35.85
8681,County_8681,Delaware,Suburban/Small City,5.06,5.83,51.81,42.35
29903,County_29903,New Hampshire,Urban,10.91,10.17,,44.38
32979,County_32979,New York,Suburban/Small City,13.77,13.14,52.72,34.14
48115,County_48115,West Virginia,Urban,10.52,10.96,41.07,47.97
13469,County_13469,Illinois,Rural,9.91,10.82,56.02,33.15
14375,County_14375,Indiana,Rural,11.11,11.11,44.92,43.97
17185,County_17185,Kentucky,Urban,8.13,8.71,45.48,45.82
25895,County_25895,Missouri,Urban,11.01,11.16,46.3,
11583,County_11583,Hawaii,Rural,15.82,16.36,45.37,38.27
24151,County_24151,Mississippi,Rural,6.89,7.24,51.0,41.76
24391,County_24391,Mississippi,Suburban/Small City,11.49,,47.11,40.61
11237,County_11237,Hawaii,Rural,3.9,3.66,49.13,47.21
12221,County_12221,Idaho,Rural,9.12,9.46,46.82,43.72
20417,County_20417,Maryland,Rural,14.44,14.95,48.16,36.89
19595,County_19595,Maine,Rural,5.16,5.83,55.94,38.22
30269,County_30269,New Jersey,Rural,9.39,9.36,51.69,38.94
32165,County_32165,New York,Suburban/Small City,13.61,14.0,41.87,44.13
1353,County_1353,Alabama,Urban,6.84,7.33,51.32,41.35
33153,County_33153,North Carolina,Suburban/Small City,14.08,13.7,38.91,47.39
52779,County_52779,Other,Urban,12.44,12.54,48.42,39.05
38755,County_38755,Pennsylvania,Urban,5.23,5.15,46.79,48.06
36617,County_36617,Oklahoma,Rural,5.67,6.33,50.29,43.37
53817,County_53817,Other,Rural,7.73,8.57,44.2,47.23
48115,County_48115,West Virginia,Urban,,16.72,43.42,39.86
21251,County_21251,Massachusetts,Rural,4.67,5.02,45.54,49.43
15251,County_15251,Iowa,Rural,6.6,7.02,52.56,40.42
6907,County_6907,Colorado,Rural,13.2,13.13,,45.46
53943,County_53943,Other,Suburban/Small City,13.68,13.92,50.94,35.14
5307,County_5307,California,Rural,7.43,7.47,44.46,48.08
43061,County_43061,Texas,Rural,3.27,3.48,49.43,47.09
52065,County_52065,Other,Rural,11.31,12.46,42.7,44.85
8375,County_8375,Delaware,Urban,11.24,12.01,41.79,46.2
55531,County_55531,Other,Rural,,7.47,62.9,29.63
5365,County_5365,California,Urban,10.24,,50.63,39.24
26115,County_26115,Montana,Urban,13.01,13.92,40.51,45.57
24727,County_24727,Mississippi,Rural,11.56,,40.8,46.17
26491,County_26491,Montana,Rural,10.63,11.96,47.74,40.3
19915,County_19915,Maine,Urban,13.4,13.8,46.92,39.28
29697,County_29697,New Hampshire,Urban,3.77,3.34,62.7,33.95
55325,County_55325,Other,Urban,8.71,8.0,55.42,36.57
7127,County_7127,Connecticut,Urban,12.79,13.36,39.61,47.03
24341,County_24341,Mississippi,Rural,15.14,15.81,,42.64
18005,County_18005,Louisiana,Urban,9.14,9.62,45.42,44.96
14049,County_14049,Indiana,Rural,6.79,7.3,47.25,45.45
53751,County_53751,Other,Urban,12.03,12.52,46.41,41.07
28643,County_28643,Nevada,Rural,3.48,3.62,52.05,44.33
6209,County_6209,Colorado,Rural,9.65,9.66,55.63,34.7
25399,County_25399,Missouri,Urban,6.56,5.98,46.7,47.32
33039,County_33039,North Carolina,Urban,16.43,16.1,34.59,49.32
27849,County_27849,Nebraska,Urban,7.92,7.19,50.49,42.32
14337,County_14337,Indiana,Suburban/Small City,15.5,16.4,40.38,43.22
19525,County_19525,Maine,Urban,5.71,5.44,51.41,43.15
8951,County_8951,Delaware,Rural,13.95,14.04,42.54,43.43
28703,County_28703,Nevada,Urban,18.68,18.73,40.91,40.36
51357,County_51357,Other,Urban,16.42,17.91,40.6,41.49
35709,County_35709,Ohio,Suburban/Small City,14.89,15.16,51.41,33.43
24493,County_24493,Mississippi,Rural,11.23,12.44,46.48,41.08
33987,County_33987,North Carolina,Rural,11.38,11.76,40.94,47.3
41199,County_41199,South Dakota,Urban,6.15,7.44,49.51,43.05
30835,County_30835,New Jersey,Urban,13.28,12.87,44.44,42.7
25167,County_25167,Missouri,Rural,12.44,13.4,46.65,39.96
11275,County_11275,Hawaii,Rural,8.04,8.94,47.21,43.85
3323,County_3323,Arizona,Urban,8.98,9.74,49.22,41.05
50229,County_50229,Wyoming,Urban,9.32,9.05,50.75,40.2
9817,County_9817,Florida,Urban,14.56,14.49,41.21,44.3
26671,County_26671,Montana,Urban,4.39,4.31,52.79,42.89
20607,County_20607,Maryland,Suburban/Small City,7.04,7.03,41.33,51.65
31589,County_31589,New Mexico,Rural,13.67,13.26,49.46,37.29
35953,County_35953,Ohio,Urban,9.92,10.59,53.62,35.79
55987,County_55987,Other,Rural,2.12,2.09,53.26,44.64
50577,County_50577,Wyoming,Urban,17.01,16.6,44.33,39.07
1753,County_1753,Alabama,Rural,8.62,8.69,52.43,38.88
28261,County_28261,Nevada,Rural,10.08,10.17,,45.92
4503,County_4503,Arkansas,Urban,6.89,7.81,45.44,46.75
33907,County_33907,North Carolina,Urban,10.73,10.46,46.98,42.56
26753,County_26753,Montana,Urban,7.78,8.41,49.84,41.75
16723,County_16723,Kansas,Rural,7.95,7.98,47.55,44.48
20193,County_20193,Maryland,Rural,16.64,17.08,38.75,44.18
11037,County_11037,Hawaii,Rural,9.82,10.79,45.64,43.57
40635,County_40635,South Carolina,Urban,4.74,5.01,49.34,45.65
56937,County_56937,Other,Rural,4.2,4.72,53.25,42.03
44259,County_44259,Utah,Rural,14.85,15.28,43.93,40.79
42033,County_42033,Tennessee,Urban,11.59,12.51,51.64,35.85
38923,County_38923,Pennsylvania,Suburban/Small City,12.1,11.33,50.67,38.0
53381,County_53381,Other,Rural,9.81,10.47,40.96,48.56
20163,County_20163,Maryland,Urban,10.13,10.76,50.24,39.01
39633,County_39633,Rhode Island,Rural,,12.67,48.9,38.43
34199,County_34199,North Dakota,Rural,9.71,10.05,50.96,38.98
9779,County_9779,Florida,Rural,9.74,10.36,48.51,41.13
32717,County_32717,New York,Suburban/Small City,7.14,7.15,50.28,42.57
26177,County_26177,Montana,Urban,8.23,9.17,55.74,35.1
8439,County_8439,Delaware,Rural,12.47,12.69,50.48,36.83
16225,County_16225,Kansas,Rural,15.39,15.36,42.93,41.71
42089,County_42089,Tennessee,Urban,10.18,9.75,38.43,51.82
38241,County_38241,Pennsylvania,Rural,16.61,16.64,,41.38
45443,County_45443,Vermont,Urban,16.03,16.16,44.2,39.64
21521,County_21521,Massachusetts,Urban,12.74,12.94,42.43,44.63
8477,County_8477,Delaware,Suburban/Small City,13.95,14.74,41.01,44.25
26983,County_26983,Montana,Suburban/Small City,6.77,6.86,59.19,33.95
24629,County_24629,Mississippi,Rural,8.63,8.43,45.86,45.71
27743,County_27743,Nebraska,Rural,14.26,14.62,47.18,38.2
3123,County_3123,Arizona,Suburban/Small City,13.36,12.97,50.0,37.03
19091,County_19091,Maine,Rural,9.77,9.6,,48.83
23951,County_23951,Minnesota,Rural,14.57,14.67,38.07,47.26
49109,County_49109,Wisconsin,Suburban/Small City,5.94,6.04,50.14,43.82
50695,County_50695,Wyoming,Rural,7.85,7.47,49.78,42.74
13401,County_13401,Illinois,Rural,9.3,9.43,50.47,40.1
45595,County_45595,Vermont,Urban,15.38,16.08,41.54,42.38
30955,County_30955,New Jersey,Rural,12.97,12.72,47.09,40.19
48429,County_48429,West Virginia,Urban,9.68,10.2,50.66,39.14
20207,County_20207,Maryland,Urban,9.28,9.88,47.39,42.73
56785,County_56785,Other,Urban,6.32,6.51,50.62,42.87
39239,County_39239,Rhode Island,Rural,16.61,17.49,46.08,36.43
15915,County_15915,Iowa,Urban,10.07,10.29,50.83,38.88
4913,County_4913,Arkansas,Rural,14.21,15.02,38.61,46.37
24409,County_24409,Mississippi,Rural,14.85,14.97,,39.75
34181,County_34181,North Dakota,Rural,7.32,8.42,59.09,32.49
49791,County_49791,Wisconsin,Rural,16.37,16.52,30.23,53.26
14837,County_14837,Indiana,Rural,13.35,13.31,42.31,44.38
25271,County_25271,Missouri,Urban,7.69,7.31,53.6,39.09
38503,County_38503,Pennsylvania,Rural,8.21,8.7,49.48,41.82
53553,County_53553,Other,Suburban/Small City,12.72,13.15,46.91,39.94
24483,County_24483,Mississippi,Rural,9.69,10.39,41.88,47.73
4953,County_4953,Arkansas,Urban,10.63,10.98,42.76,46.26
42177,County_42177,Tennessee,Rural,5.07,4.86,48.84,
21779,County_21779,Massachusetts,Rural,5.89,6.24,53.61,40.15
51985,County_51985,Other,Rural,10.23,10.47,36.11,53.42
40433,County_40433,South Carolina,Urban,8.31,9.11,53.33,37.56
48283,County_48283,West Virginia,Urban,10.35,11.04,43.2,45.76
22547,County_22547,Michigan,Urban,11.88,12.68,49.43,37.9
13699,County_13699,Illinois,Urban,12.45,12.08,49.82,38.09
20887,County_20887,Maryland,Urban,10.69,11.18,44.31,44.51
2661,County_2661,Alaska,Suburban/Small City,15.52,16.19,36.98,46.84
26439,County_26439,Montana,Urban,3.63,3.95,57.15,38.9
37169,County_37169,Oregon,Rural,11.63,12.2,36.78,51.02
20729,County_20729,Maryland,Urban,4.43,4.44,52.17,43.39
8675,County_8675,Delaware,Rural,10.36,10.31,41.05,48.64
19995,County_19995,Maine,Suburban/Small City,11.04,10.57,36.29,53.14
17163,County_17163,Kentucky,Rural,4.46,4.39,58.31,37.29
14673,County_14673,Indiana,Urban,10.38,10.4,,43.91
27507,County_27507,Nebraska,Rural,7.65,8.06,50.0,
35353,County_35353,Ohio,Rural,13.11,14.02,45.58,40.39
23199,County_23199,Minnesota,Urban,12.13,12.21,51.74,36.05
6777,County_6777,Colorado,Rural,13.23,14.17,44.13,41.7
22207,County_22207,Michigan,Rural,10.2,10.46,48.01,41.53
19631,County_19631,Maine,Suburban/Small City,14.35,14.16,48.77,37.07
51037,County_51037,Other,Urban,7.63,7.17,51.33,41.5
10237,County_10237,Georgia,Rural,17.73,18.02,42.39,
6883,County_6883,Colorado,Urban,9.19,9.32,47.08,43.6
10297,County_10297,Georgia,Rural,8.7,9.07,43.55,47.38
43169,County_43169,Texas,Rural,15.93,16.32,38.83,44.84
12317,County_12317,Idaho,Rural,6.22,5.93,56.32,37.75
49107,County_49107,Wisconsin,Urban,5.15,5.78,49.27,44.94
30077,County_30077,New Jersey,Rural,9.64,10.46,40.78,48.76
21009,County_21009,Massachusetts,Urban,9.02,9.44,53.86,36.7
39777,County_39777,Rhode Island,Urban,7.83,8.13,58.55,33.32
49677,County_49677,Wisconsin,Rural,12.78,,51.58,35.11
26687,County_26687,Montana,Urban,8.48,9.59,46.03,44.38
20455,County_20455,Maryland,Urban,,4.93,57.17,37.9
36631,County_36631,Oklahoma,Urban,,13.5,48.48,
19923,County_19923,Maine,Suburban/Small City,10.53,11.18,57.57,31.25
56401,County_56401,Other,Urban,15.13,16.21,36.7,47.08
8289,County_8289,Delaware,Rural,13.97,14.41,37.96,47.62
9661,County_9661,Florida,Suburban/Small City,14.5,14.58,44.07,41.35
38257,County_38257,Pennsylvania,Urban,7.72,,55.88,36.42
18633,County_18633,Louisiana,Rural,14.56,14.92,50.73,34.36
33343,County_33343,North Carolina,Rural,13.73,13.83,41.65,44.52
42303,County_42303,Tennessee,Rural,8.82,9.0,45.41,45.59
54305,County_54305,Other,Suburban/Small City,12.03,12.39,52.03,35.59
20161,County_20161,Maryland,Urban,3.86,3.81,63.32,32.87
21675,County_21675,Massachusetts,Suburban/Small City,5.81,6.02,57.33,36.65
46697,County_46697,Virginia,Rural,5.74,5.54,59.61,34.85
11979,County_11979,Hawaii,Urban,14.7,15.05,48.04,36.91
54005,County_54005,Other,Rural,11.42,11.91,50.77,37.32
15169,County_15169,Iowa,Rural,10.42,11.06,43.74,45.2
39507,County_39507,Rhode Island,Rural,10.69,11.2,47.19,41.61
28721,County_28721,Nevada,Urban,10.52,10.99,47.28,41.73
33077,County_33077,North Carolina,Urban,3.8,3.43,,48.64
53843,County_53843,Other,Urban,9.1,8.94,45.19,45.87
54743,County_54743,Other,Urban,8.29,7.97,49.31,42.72
42463,County_42463,Tennessee,Rural,7.23,7.34,47.8,44.86
50921,County_50921,Wyoming,Urban,4.82,5.15,,41.95
44779,County_44779,Utah,Urban,12.29,12.8,46.13,41.07
30805,County_30805,New Jersey,Rural,4.01,4.15,53.18,42.66
55679,County_55679,Other,Rural,16.73,17.07,40.02,42.92
16113,County_16113,Kansas,Suburban/Small City,9.16,10.37,43.12,46.52
43217,County_43217,Texas,Urban,5.61,6.3,45.22,48.48
32849,County_32849,New York,Urban,9.77,9.68,49.79,40.53
45827,County_45827,Vermont,Urban,12.01,11.97,49.83,38.2
37909,County_37909,Oregon,Rural,15.0,16.11,36.03,47.86
17399,County_17399,Kentucky,Urban,16.4,16.86,34.0,49.13
38595,County_38595,Pennsylvania,Rural,12.53,12.57,41.17,46.27
18085,County_18085,Louisiana,Rural,14.43,14.61,51.83,33.56
23215,County_23215,Minnesota,Urban,5.09,4.91,56.43,38.66
44921,County_44921,Utah,Rural,9.18,8.78,64.52,26.7
42815,County_42815,Tennessee,Suburban/Small City,8.9,9.34,47.71,42.95
8035,County_8035,Delaware,Urban,2.67,3.14,55.24,41.63
13951,County_13951,Illinois,Rural,3.4,3.58,51.97,44.45
44193,County_44193,Utah,Rural,10.27,10.69,53.79,35.52
13213,County_13213,Illinois,Urban,14.0,14.65,36.86,48.49
26079,County_26079,Montana,Urban,7.47,8.39,59.66,31.95
40851,County_40851,South Carolina,Rural,11.29,11.92,50.79,37.29
38077,County_38077,Pennsylvania,Rural,10.39,9.81,51.44,
31161,County_31161,New Mexico,Suburban/Small City,7.46,7.93,57.45,34.62
8135,County_8135,Delaware,Rural,8.72,8.31,49.07,42.62
29047,County_29047,New Hampshire,Suburban/Small City,,7.18,48.33,44.49
15909,County_15909,Iowa,Rural,11.71,11.56,,41.14
2319,County_2319,Alaska,Urban,9.46,9.79,52.99,37.22
46267,County_46267,Virginia,Urban,13.65,14.09,43.5,42.41
55631,County_55631,Other,Urban,12.79,,48.13,38.61
28553,County_28553,Nevada,Suburban/Small City,4.72,5.26,52.36,42.38
12941,County_12941,Idaho,Rural,11.67,13.24,38.36,48.41
11591,County_11591,Hawaii,Urban,4.18,4.78,44.77,50.45
52257,County_52257,Other,Urban,9.3,9.04,52.35,
33251,County_33251,North Carolina,Rural,5.5,6.31,50.16,43.53
3725,County_3725,Arizona,Urban,10.74,11.18,52.44,36.39
31417,County_31417,New Mexico,Rural,12.47,13.3,49.66,37.04
13149,County_13149,Illinois,Rural,13.24,13.26,43.29,43.46
40725,County_40725,South Carolina,Rural,10.66,11.34,48.33,40.33
56063,County_56063,Other,Urban,5.85,6.43,51.9,41.67
24317,County_24317,Mississippi,Urban,8.66,9.46,47.29,43.25
18341,County_18341,Louisiana,Urban,15.32,15.81,35.82,48.37
15601,County_15601,Iowa,Rural,7.67,7.95,48.62,43.43
2943,County_2943,Alaska,Urban,2.79,4.0,52.23,43.78
10949,County_10949,Georgia,Rural,6.9,6.61,61.98,31.4
1041,County_1041,Alabama,Rural,14.79,14.36,55.54,30.1
9777,County_9777,Florida,Rural,11.52,11.7,41.35,46.95
27263,County_27263,Nebraska,Rural,8.86,9.35,49.59,41.06
1701,County_1701,Alabama,Urban,5.35,5.0,58.88,36.12
41389,County_41389,South Dakota,Rural,12.23,12.47,,42.21
18099,County_18099,Louisiana,Urban,8.79,9.15,40.14,50.71
33977,County_33977,North Carolina,Suburban/Small City,6.02,6.56,44.32,49.12
32383,County_32383,New York,Rural,15.68,,30.0,53.48
48105,County_48105,West Virginia,Suburban/Small City,11.71,11.79,40.92,47.3
5719,County_5719,California,Rural,2.11,2.97,50.04,46.99
21621,County_21621,Massachusetts,Rural,10.8,11.1,52.81,36.09
21237,County_21237,Massachusetts,Rural,12.61,13.44,46.91,39.65
51665,County_51665,Other,Urban,8.55,9.1,42.21,48.69
26887,County_26887,Montana,Rural,5.65,6.14,48.65,45.21
7849,County_7849,Connecticut,Rural,7.68,8.25,50.88,40.87
46889,County_46889,Virginia,Urban,5.62,5.09,48.37,46.53
16355,County_16355,Kansas,Urban,7.28,,48.51,43.81
17175,County_17175,Kentucky,Rural,6.74,6.83,49.87,43.3
56707,County_56707,Other,Rural,15.0,15.14,43.89,40.97
21071,County_21071,Massachusetts,Rural,7.68,7.01,43.58,49.42
34825,County_34825,North Dakota,Rural,14.66,14.9,34.84,50.26
38521,County_38521,Pennsylvania,Urban,9.15,10.17,44.67,45.16
55273,County_55273,Other,Rural,13.32,13.8,46.45,39.75
25471,County_25471,Missouri,Suburban/Small City,4.79,5.63,49.61,44.76
23357,County_23357,Minnesota,Urban,12.95,12.73,41.22,46.05
8215,County_8215,Delaware,Rural,14.73,15.3,50.32,34.38
26945,County_26945,Montana,Rural,2.23,2.75,52.47,44.77
43269,County_43269,Texas,Rural,9.74,9.87,52.56,37.56
5749,County_5749,California,Rural,15.25,15.41,36.34,48.25
34923,County_34923,North Dakota,Urban,12.62,12.71,51.75,
21557,County_21557,Massachusetts,Rural,7.92,7.75,48.61,43.64
52597,County_52597,Other,Rural,13.78,13.46,45.1,41.44
27993,County_27993,Nebraska,Urban,13.93,14.51,44.87,40.62
40159,County_40159,South Carolina,Rural,8.39,7.98,48.51,43.51
28781,County_28781,Nevada,Rural,14.27,15.29,55.74,28.96
45099,County_45099,Vermont,Rural,2.42,3.02,57.17,39.81
17679,County_17679,Kentucky,Suburban/Small City,9.25,8.97,49.65,41.38
53289,County_53289,Other,Rural,9.76,10.13,43.83,46.04
44211,County_44211,Utah,Rural,9.21,9.92,46.08,44.0
30561,County_30561,New Jersey,Urban,11.37,11.9,44.35,43.74
20501,County_20501,Maryland,Rural,9.03,9.47,48.88,
51407,County_51407,Other,Rural,5.65,6.39,49.88,43.72
27011,County_27011,Nebraska,Rural,15.13,15.86,40.53,43.61
38923,County_38923,Pennsylvania,Suburban/Small City,8.59,,44.03,46.96
21681,County_21681,Massachusetts,Rural,12.95,13.28,50.93,35.78
8899,County_8899,Delaware,Suburban/Small City,10.24,,46.29,43.25
14069,County_14069,Indiana,Urban,9.8,10.84,54.25,34.91
4615,County_4615,Arkansas,Urban,14.31,13.92,46.86,39.22
35427,County_35427,Ohio,Rural,14.32,14.99,48.47,36.55
2549,County_2549,Alaska,Suburban/Small City,11.02,11.22,53.1,35.68
26209,County_26209,Montana,Rural,14.79,15.72,45.78,38.5
43117,County_43117,Texas,Rural,10.24,10.79,48.73,40.48
34889,County_34889,North Dakota,Rural,11.88,11.68,50.78,37.54
9819,County_9819,Florida,Rural,11.45,12.39,42.73,44.88
31887,County_31887,New Mexico,Rural,8.59,10.0,41.29,48.71
48807,County_48807,West Virginia,Rural,17.01,17.39,39.87,42.75
27447,County_27447,Nebraska,Rural,14.41,14.94,42.74,42.33
