COUNTYFIPS,COUNTY,STATE,community_type,poverty_rate_pct,poverty_rate_children_pct,pct_below_50pct_poverty_line,pct_hh_on_food_stamps
39339,County_39339,Rhode Island,Rural,22.03,29.67,9.93,28.41
43705,County_43705,Texas,Urban,23.86,34.37,11.71,29.15
33745,County_33745,North Carolina,Rural,19.56,27.79,10.12,19.29
12335,County_12335,Idaho,Urban,18.56,26.27,6.94,19.34
23573,County_23573,Minnesota,Urban,31.09,39.64,13.9,35.8
46635,County_46635,Virginia,Rural,28.29,33.44,11.6,38.52
7151,County_7151,Connecticut,Suburban/Small City,31.53,42.72,,40.78
8681,County_8681,Delaware,Suburban/Small City,17.96,24.97,7.12,21.29
29903,County_29903,New Hampshire,Urban,27.98,37.59,12.02,30.17
32979,County_32979,New York,Suburban/Small City,34.66,43.43,15.51,49.49
48115,County_48115,West Virginia,Urban,27.92,39.29,11.29,37.91
13469,County_13469,Illinois,Rural,20.51,26.7,7.51,30.24
14375,County_14375,Indiana,Rural,31.71,42.95,15.61,37.55
17185,County_17185,Kentucky,Urban,20.03,27.8,,
25895,County_25895,Missouri,Urban,27.14,37.88,13.67,37.1
11583,County_11583,Hawaii,Rural,40.02,53.96,16.68,46.88
24151,County_24151,Mississippi,Rural,19.63,26.82,9.5,25.5
24391,County_24391,Mississippi,Suburban/Small City,30.46,42.57,10.72,34.02
11237,County_11237,Hawaii,Rural,14.56,19.91,5.04,8.76
12221,County_12221,Idaho,Rural,25.44,35.14,11.96,34.56
20417,County_20417,Maryland,Rural,32.38,40.96,15.09,44.58
19595,County_19595,Maine,Rural,18.13,20.61,10.37,10.6
30269,County_30269,New Jersey,Rural,23.66,26.67,10.33,25.91
32165,County_32165,New York,Suburban/Small City,,51.93,17.26,51.62
1353,County_1353,Alabama,Urban,18.18,24.75,10.14,23.14
33153,County_33153,North Carolina,Suburban/Small City,36.41,44.71,15.62,47.11
52779,County_52779,Other,Urban,35.79,46.91,14.53,36.18
38755,County_38755,Pennsylvania,Urban,9.59,11.01,3.87,8.14
36617,County_36617,Oklahoma,Rural,16.65,20.28,6.97,16.18
53817,County_53817,Other,Rural,18.67,20.6,8.4,13.9
48115,County_48115,West Virginia,Urban,39.35,51.28,15.82,55.36
21251,County_21251,Massachusetts,Rural,9.39,14.89,1.73,10.2
15251,County_15251,Iowa,Rural,22.55,30.42,12.33,28.44
6907,County_6907,Colorado,Rural,26.83,33.57,12.92,42.39
53943,County_53943,Other,Suburban/Small City,35.71,,14.46,50.11
5307,County_5307,California,Rural,16.5,21.24,8.3,17.3
43061,County_43061,Texas,Rural,8.53,11.8,4.8,6.45
52065,County_52065,Other,Rural,26.81,37.76,9.32,34.57
8375,County_8375,Delaware,Urban,27.6,33.52,16.16,35.87
55531,County_55531,Other,Rural,16.06,20.83,5.18,22.18
5365,County_5365,California,Urban,24.2,30.8,10.95,31.53
26115,County_26115,Montana,Urban,32.57,40.34,16.51,42.74
24727,County_24727,Mississippi,Rural,26.71,35.92,12.1,40.71
26491,County_26491,Montana,Rural,26.05,32.18,10.56,38.21
19915,County_19915,Maine,Urban,34.67,47.11,17.73,43.79
29697,County_29697,New Hampshire,Urban,12.42,13.99,7.63,9.03
55325,County_55325,Other,Urban,20.44,,11.1,26.71
7127,County_7127,Connecticut,Urban,32.6,44.52,12.44,40.57
24341,County_24341,Mississippi,Rural,37.64,48.07,17.26,51.73
18005,County_18005,Louisiana,Urban,32.23,44.01,16.09,39.54
14049,County_14049,Indiana,Rural,21.31,24.22,9.25,24.8
53751,County_53751,Other,Urban,28.71,,13.76,35.33
28643,County_28643,Nevada,Rural,7.97,7.04,2.41,
6209,County_6209,Colorado,Rural,27.1,36.26,14.2,32.29
25399,County_25399,Missouri,Urban,18.3,22.27,10.93,14.25
33039,County_33039,North Carolina,Urban,39.92,53.86,,58.62
27849,County_27849,Nebraska,Urban,25.96,34.26,11.89,21.69
14337,County_14337,Indiana,Suburban/Small City,37.16,46.25,17.67,41.98
19525,County_19525,Maine,Urban,20.81,23.04,11.17,15.54
8951,County_8951,Delaware,Rural,37.04,49.34,15.47,46.18
28703,County_28703,Nevada,Urban,42.29,53.15,19.74,58.3
51357,County_51357,Other,Urban,35.54,49.43,14.89,50.78
35709,County_35709,Ohio,Suburban/Small City,39.4,53.11,13.84,53.95
24493,County_24493,Mississippi,Rural,26.49,32.5,13.18,27.27
33987,County_33987,North Carolina,Rural,27.97,37.78,10.65,34.39
41199,County_41199,South Dakota,Urban,20.0,23.9,10.73,
30835,County_30835,New Jersey,Urban,30.9,37.27,15.11,39.83
25167,County_25167,Missouri,Rural,28.0,31.23,11.87,35.63
11275,County_11275,Hawaii,Rural,21.82,28.03,11.65,26.48
3323,County_3323,Arizona,Urban,17.87,23.71,9.62,27.11
50229,County_50229,Wyoming,Urban,26.85,33.57,12.64,34.21
9817,County_9817,Florida,Urban,36.88,47.83,16.62,47.17
26671,County_26671,Montana,Urban,12.97,17.3,6.21,9.51
20607,County_20607,Maryland,Suburban/Small City,12.79,19.24,5.94,17.81
31589,County_31589,New Mexico,Rural,35.42,42.91,19.33,49.86
35953,County_35953,Ohio,Urban,23.04,25.96,9.89,29.54
55987,County_55987,Other,Rural,11.6,14.99,8.22,12.21
50577,County_50577,Wyoming,Urban,39.24,54.4,15.43,47.62
1753,County_1753,Alabama,Rural,24.89,31.35,11.86,25.37
28261,County_28261,Nevada,Rural,23.44,29.61,9.98,32.73
4503,County_4503,Arkansas,Urban,18.41,24.14,9.32,13.57
33907,County_33907,North Carolina,Urban,25.39,,9.57,32.93
26753,County_26753,Montana,Urban,16.95,21.42,7.49,19.43
16723,County_16723,Kansas,Rural,20.04,25.87,12.45,28.72
20193,County_20193,Maryland,Rural,38.6,50.05,17.06,51.76
11037,County_11037,Hawaii,Rural,23.21,28.68,12.38,36.64
40635,County_40635,South Carolina,Urban,,10.26,5.78,11.89
56937,County_56937,Other,Rural,15.05,23.28,6.0,10.36
44259,County_44259,Utah,Rural,34.56,43.85,12.74,46.34
42033,County_42033,Tennessee,Urban,25.51,31.72,13.21,32.18
38923,County_38923,Pennsylvania,Suburban/Small City,31.8,40.84,11.87,31.35
53381,County_53381,Other,Rural,24.93,35.02,10.17,31.4
20163,County_20163,Maryland,Urban,20.83,27.59,9.6,32.04
39633,County_39633,Rhode Island,Rural,26.25,35.76,11.35,
34199,County_34199,North Dakota,Rural,25.75,37.56,11.26,34.45
9779,County_9779,Florida,Rural,21.55,28.87,9.31,29.13
32717,County_32717,New York,Suburban/Small City,18.37,21.74,9.79,27.61
26177,County_26177,Montana,Urban,20.49,26.15,4.28,21.58
8439,County_8439,Delaware,Rural,30.97,40.72,11.52,46.52
16225,County_16225,Kansas,Rural,36.67,49.3,18.57,46.67
42089,County_42089,Tennessee,Urban,25.94,36.42,10.27,34.84
38241,County_38241,Pennsylvania,Rural,37.2,46.42,17.51,46.99
45443,County_45443,Vermont,Urban,40.32,49.4,18.06,52.5
21521,County_21521,Massachusetts,Urban,27.14,35.69,11.8,37.01
8477,County_8477,Delaware,Suburban/Small City,36.68,46.74,17.06,42.5
26983,County_26983,Montana,Suburban/Small City,24.41,33.16,12.82,27.61
24629,County_24629,Mississippi,Rural,21.27,30.84,11.12,18.93
27743,County_27743,Nebraska,Rural,32.83,42.81,13.54,49.76
3123,County_3123,Arizona,Suburban/Small City,34.17,43.19,16.79,45.22
19091,County_19091,Maine,Rural,24.81,32.43,11.7,22.07
23951,County_23951,Minnesota,Rural,38.35,54.68,17.39,46.61
49109,County_49109,Wisconsin,Suburban/Small City,12.32,20.39,7.62,11.1
50695,County_50695,Wyoming,Rural,19.04,27.0,8.47,20.45
13401,County_13401,Illinois,Rural,25.93,36.63,11.63,30.11
45595,County_45595,Vermont,Urban,36.12,45.35,15.44,52.51
30955,County_30955,New Jersey,Rural,35.54,42.69,16.81,47.84
48429,County_48429,West Virginia,Urban,24.41,33.33,14.47,26.8
20207,County_20207,Maryland,Urban,23.32,29.49,11.51,24.08
56785,County_56785,Other,Urban,16.27,21.89,8.59,20.77
39239,County_39239,Rhode Island,Rural,43.08,57.29,21.75,52.4
15915,County_15915,Iowa,Urban,24.05,30.33,10.7,27.43
4913,County_4913,Arkansas,Rural,36.2,47.76,14.93,53.37
24409,County_24409,Mississippi,Rural,35.29,48.22,16.34,45.54
34181,County_34181,North Dakota,Rural,14.6,20.94,6.43,13.3
49791,County_49791,Wisconsin,Rural,36.28,47.18,12.87,46.43
14837,County_14837,Indiana,Rural,35.38,47.04,13.53,42.63
25271,County_25271,Missouri,Urban,23.02,32.17,8.61,24.76
38503,County_38503,Pennsylvania,Rural,21.98,26.3,10.95,23.51
53553,County_53553,Other,Suburban/Small City,30.22,44.01,13.8,44.68
24483,County_24483,Mississippi,Rural,24.56,28.76,10.6,27.92
4953,County_4953,Arkansas,Urban,,37.66,12.37,
42177,County_42177,Tennessee,Rural,17.31,21.16,9.05,13.44
21779,County_21779,Massachusetts,Rural,11.55,12.15,5.51,14.56
51985,County_51985,Other,Rural,25.05,32.86,12.69,30.67
40433,County_40433,South Carolina,Urban,21.04,25.45,10.22,16.83
48283,County_48283,West Virginia,Urban,28.91,34.85,13.73,29.7
22547,County_22547,Michigan,Urban,28.59,40.27,13.5,40.58
13699,County_13699,Illinois,Urban,33.27,39.31,11.07,41.94
20887,County_20887,Maryland,Urban,28.06,38.38,12.17,38.6
2661,County_2661,Alaska,Suburban/Small City,42.47,55.04,18.84,58.56
26439,County_26439,Montana,Urban,15.17,22.2,6.43,11.45
37169,County_37169,Oregon,Rural,21.64,28.55,13.78,
20729,County_20729,Maryland,Urban,19.48,22.59,12.3,21.35
8675,County_8675,Delaware,Rural,28.57,37.67,12.72,34.28
19995,County_19995,Maine,Suburban/Small City,27.01,35.93,10.47,33.08
17163,County_17163,Kentucky,Rural,12.8,16.43,7.42,7.31
14673,County_14673,Indiana,Urban,29.09,38.36,15.57,37.85
27507,County_27507,Nebraska,Rural,17.52,21.35,8.87,19.51
35353,County_35353,Ohio,Rural,28.37,38.2,12.68,38.82
23199,County_23199,Minnesota,Urban,28.22,36.88,12.14,29.34
6777,County_6777,Colorado,Rural,29.23,39.11,12.07,31.6
22207,County_22207,Michigan,Rural,26.13,34.98,12.35,28.95
19631,County_19631,Maine,Suburban/Small City,34.55,49.09,,54.2
51037,County_51037,Other,Urban,19.62,26.58,9.58,22.05
10237,County_10237,Georgia,Rural,40.02,51.07,13.64,51.25
6883,County_6883,Colorado,Urban,22.64,33.84,9.97,28.89
10297,County_10297,Georgia,Rural,21.51,24.65,11.41,17.65
43169,County_43169,Texas,Rural,36.71,49.2,17.12,52.1
12317,County_12317,Idaho,Rural,14.06,22.46,4.22,17.09
49107,County_49107,Wisconsin,Urban,15.19,20.34,7.9,16.82
30077,County_30077,New Jersey,Rural,27.04,34.64,12.91,33.01
21009,County_21009,Massachusetts,Urban,24.78,31.56,10.88,23.18
39777,County_39777,Rhode Island,Urban,,33.1,9.66,19.94
49677,County_49677,Wisconsin,Rural,31.1,40.64,14.08,43.67
26687,County_26687,Montana,Urban,14.06,16.41,4.81,22.25
20455,County_20455,Maryland,Urban,17.55,19.4,10.61,13.2
36631,County_36631,Oklahoma,Urban,29.35,37.31,12.16,36.09
19923,County_19923,Maine,Suburban/Small City,25.65,33.96,9.65,36.08
56401,County_56401,Other,Urban,39.33,53.47,15.97,45.48
8289,County_8289,Delaware,Rural,37.44,48.64,15.74,48.35
9661,County_9661,Florida,Suburban/Small City,36.73,53.11,16.35,43.72
38257,County_38257,Pennsylvania,Urban,18.65,25.26,7.2,23.39
18633,County_18633,Louisiana,Rural,30.07,36.24,13.03,
33343,County_33343,North Carolina,Rural,30.62,39.2,10.46,39.36
42303,County_42303,Tennessee,Rural,20.16,26.51,9.33,20.97
54305,County_54305,Other,Suburban/Small City,29.08,37.78,12.04,40.42
20161,County_20161,Maryland,Urban,12.12,11.67,4.38,8.86
21675,County_21675,Massachusetts,Suburban/Small City,14.43,15.56,7.4,7.53
46697,County_46697,Virginia,Rural,13.08,18.77,5.84,11.4
11979,County_11979,Hawaii,Urban,33.27,41.35,13.44,39.13
54005,County_54005,Other,Rural,25.34,32.62,11.55,33.71
15169,County_15169,Iowa,Rural,32.08,45.22,13.42,24.33
39507,County_39507,Rhode Island,Rural,33.1,41.75,16.82,37.77
28721,County_28721,Nevada,Urban,33.48,44.53,15.36,43.54
33077,County_33077,North Carolina,Urban,13.6,21.1,4.28,10.39
53843,County_53843,Other,Urban,26.76,35.16,10.7,24.64
54743,County_54743,Other,Urban,24.53,31.07,10.33,31.08
42463,County_42463,Tennessee,Rural,18.75,22.03,7.86,22.73
50921,County_50921,Wyoming,Urban,15.61,21.44,7.77,10.63
44779,County_44779,Utah,Urban,30.82,41.02,14.65,40.35
30805,County_30805,New Jersey,Rural,10.29,9.93,3.63,7.35
55679,County_55679,Other,Rural,,56.49,18.61,50.07
16113,County_16113,Kansas,Suburban/Small City,26.32,31.15,14.05,26.96
43217,County_43217,Texas,Urban,16.0,20.87,8.31,13.21
32849,County_32849,New York,Urban,20.99,24.3,6.82,26.04
45827,County_45827,Vermont,Urban,27.75,39.12,14.43,39.24
37909,County_37909,Oregon,Rural,33.92,37.72,12.35,44.07
17399,County_17399,Kentucky,Urban,39.06,50.68,17.57,55.35
38595,County_38595,Pennsylvania,Rural,36.33,50.09,16.75,45.23
18085,County_18085,Louisiana,Rural,32.96,41.1,13.76,44.29
23215,County_23215,Minnesota,Urban,10.31,13.57,4.94,10.11
44921,County_44921,Utah,Rural,18.7,23.97,8.69,17.5
42815,County_42815,Tennessee,Suburban/Small City,17.82,24.87,8.35,23.82
8035,County_8035,Delaware,Urban,8.42,14.1,,6.97
13951,County_13951,Illinois,Rural,12.54,11.43,4.5,14.26
44193,County_44193,Utah,Rural,27.33,35.6,14.64,36.52
13213,County_13213,Illinois,Urban,30.19,42.41,12.62,44.51
26079,County_26079,Montana,Urban,23.71,34.9,10.11,29.22
40851,County_40851,South Carolina,Rural,,33.86,13.46,33.16
38077,County_38077,Pennsylvania,Rural,30.5,39.82,,36.0
31161,County_31161,New Mexico,Suburban/Small City,19.85,23.97,10.63,21.41
8135,County_8135,Delaware,Rural,24.66,32.87,9.82,23.98
29047,County_29047,New Hampshire,Suburban/Small City,19.83,28.35,10.59,21.54
15909,County_15909,Iowa,Rural,29.96,39.3,14.3,42.0
2319,County_2319,Alaska,Urban,,28.79,10.8,29.06
46267,County_46267,Virginia,Urban,35.45,45.98,13.32,41.73
55631,County_55631,Other,Urban,33.04,39.22,16.44,34.75
28553,County_28553,Nevada,Suburban/Small City,15.35,17.84,,
12941,County_12941,Idaho,Rural,31.7,44.81,14.82,28.78
11591,County_11591,Hawaii,Urban,13.52,18.51,5.09,14.13
52257,County_52257,Other,Urban,22.63,31.94,9.76,30.78
33251,County_33251,North Carolina,Rural,12.45,12.7,7.13,13.25
3725,County_3725,Arizona,Urban,26.27,34.18,11.21,33.19
31417,County_31417,New Mexico,Rural,31.24,43.64,13.34,35.47
13149,County_13149,Illinois,Rural,35.33,47.82,15.76,42.51
40725,County_40725,South Carolina,Rural,27.42,35.32,14.05,37.35
56063,County_56063,Other,Urban,14.48,20.79,9.17,11.68
24317,County_24317,Mississippi,Urban,20.12,29.4,11.07,21.56
18341,County_18341,Louisiana,Urban,39.87,48.5,17.8,50.01
15601,County_15601,Iowa,Rural,25.55,36.23,9.31,32.97
2943,County_2943,Alaska,Urban,,5.96,3.36,5.56
10949,County_10949,Georgia,Rural,21.79,27.49,7.73,16.53
1041,County_1041,Alabama,Rural,33.84,43.21,14.91,46.6
9777,County_9777,Florida,Rural,29.99,39.35,12.19,39.62
27263,County_27263,Nebraska,Rural,21.02,27.47,5.25,23.4
1701,County_1701,Alabama,Urban,16.37,23.38,5.06,18.38
41389,County_41389,South Dakota,Rural,27.88,35.79,12.01,
18099,County_18099,Louisiana,Urban,19.4,27.99,8.78,20.34
33977,County_33977,North Carolina,Suburban/Small City,20.55,24.38,,
32383,County_32383,New York,Rural,36.79,50.39,19.44,48.02
48105,County_48105,West Virginia,Suburban/Small City,24.73,35.61,9.33,29.61
5719,County_5719,California,Rural,10.13,13.33,5.69,9.54
21621,County_21621,Massachusetts,Rural,26.2,37.94,11.59,35.12
21237,County_21237,Massachusetts,Rural,,,16.14,37.23
51665,County_51665,Other,Urban,19.93,23.92,9.84,26.13
26887,County_26887,Montana,Rural,16.15,19.8,9.02,13.96
7849,County_7849,Connecticut,Rural,16.36,22.62,6.88,21.03
46889,County_46889,Virginia,Urban,13.87,18.1,7.76,21.12
16355,County_16355,Kansas,Urban,21.19,32.96,8.67,22.99
17175,County_17175,Kentucky,Rural,15.99,21.18,5.99,21.4
56707,County_56707,Other,Rural,33.26,41.54,13.6,45.12
21071,County_21071,Massachusetts,Rural,21.05,28.27,8.78,17.64
34825,County_34825,North Dakota,Rural,31.32,37.89,13.52,35.94
38521,County_38521,Pennsylvania,Urban,23.55,31.65,9.17,22.63
55273,County_55273,Other,Rural,35.43,45.7,16.93,43.95
25471,County_25471,Missouri,Suburban/Small City,16.47,21.2,7.98,14.62
23357,County_23357,Minnesota,Urban,37.94,47.48,,42.15
8215,County_8215,Delaware,Rural,37.86,47.61,17.43,
26945,County_26945,Montana,Rural,10.68,10.9,5.54,7.52
43269,County_43269,Texas,Rural,28.72,40.98,13.43,32.31
5749,County_5749,California,Rural,38.35,50.34,17.1,50.15
34923,County_34923,North Dakota,Urban,30.54,38.92,13.53,35.29
21557,County_21557,Massachusetts,Rural,21.13,24.71,4.32,24.96
52597,County_52597,Other,Rural,35.91,48.35,16.35,50.83
27993,County_27993,Nebraska,Urban,40.99,53.01,19.22,47.48
40159,County_40159,South Carolina,Rural,27.0,32.56,12.28,25.77
28781,County_28781,Nevada,Rural,32.77,41.59,15.81,42.97
45099,County_45099,Vermont,Rural,8.25,10.85,2.73,10.48
17679,County_17679,Kentucky,Suburban/Small City,25.65,36.95,10.34,23.41
53289,County_53289,Other,Rural,25.13,35.66,13.31,22.25
44211,County_44211,Utah,Rural,19.38,25.84,9.54,19.88
30561,County_30561,New Jersey,Urban,26.84,34.45,11.05,36.73
20501,County_20501,Maryland,Rural,22.41,28.76,7.12,19.49
51407,County_51407,Other,Rural,13.97,16.45,3.67,14.95
27011,County_27011,Nebraska,Rural,,36.76,15.81,44.73
38923,County_38923,Pennsylvania,Suburban/Small City,24.94,30.43,12.61,30.82
21681,County_21681,Massachusetts,Rural,31.06,40.22,12.48,47.27
8899,County_8899,Delaware,Suburban/Small City,26.94,35.96,9.1,34.85
14069,County_14069,Indiana,Urban,23.58,28.3,10.12,31.97
4615,County_4615,Arkansas,Urban,31.34,42.0,13.73,38.69
35427,County_35427,Ohio,Rural,29.58,42.12,11.83,42.53
2549,County_2549,Alaska,Suburban/Small City,28.71,34.65,12.41,35.37
26209,County_26209,Montana,Rural,37.08,48.13,14.86,43.56
43117,County_43117,Texas,Rural,24.23,32.18,8.43,35.53
34889,County_34889,North Dakota,Rural,27.87,35.39,12.87,35.6
9819,County_9819,Florida,Rural,31.9,44.22,13.25,39.13
31887,County_31887,New Mexico,Rural,27.82,37.52,11.69,27.52
48807,County_48807,West Virginia,Rural,41.69,54.12,19.42,51.54
